{'learning_rate': 0.02, 'learning_rate_tau': 10000, 'task_id': 1, 'mode': {'max_epochs': 100, 'name': 'classic', 'min_error': 0}, 'batchnorm': {'type': 'none', 'modes': [], 'tau': 5, 'momentum': 0.98}}
{'va': {'in_seq_len': 40, 'max_truncation': 0, 'minibatch_size': 500, 'minibatch_mode': False}, 'te': {'in_seq_len': 40, 'max_truncation': 0, 'minibatch_size': 500, 'minibatch_mode': False}, 'dataset': 'timit', 'remove_bias': False, 'tr': {'in_seq_len': 40, 'max_truncation': 0, 'minibatch_size': 1000, 'minibatch_mode': True}}
{'gradient_clip_value': 0.5, 'weight_type': 'ternary', 'discrete_acts': [''], 'output_type': 'classification', 'layout': [13, 70, 100, 60], 'layer_configs': [{'layer_type': 'input'}, {'init_config': {'c': {'w': 'xavier', 'b': 'all_zero'}, 'i': {'w': 'xavier', 'b': 'all_zero'}, 'f': {'w': 'xavier', 'b': 'all_one'}, 'o': {'w': 'xavier', 'b': 'all_zero'}}, 'regularization': {'state_zo_prob': 0.05, 'mode': 'none', 'output_zo_prob': 0.01}, 'var_scope': 'lstm_0', 'layer_type': 'lstm'}, {'init_config': {'c': {'w': 'xavier', 'b': 'all_zero'}, 'i': {'w': 'xavier', 'b': 'all_zero'}, 'f': {'w': 'xavier', 'b': 'all_one'}, 'o': {'w': 'xavier', 'b': 'all_zero'}}, 'regularization': {'state_zo_prob': 0.05, 'mode': 'none', 'output_zo_prob': 0.01}, 'var_scope': 'lstm_1', 'layer_type': 'lstm'}, {'init_config': {'w': 'xavier', 'b': 'all_zero'}, 'regularization': {'strength': 0.0, 'mode': 'l2'}, 'var_scope': 'output_layer', 'layer_type': 'fc'}], 'n_bins': 2.0}
{'include_pred': False, 'include_out': False, 'save_model': {'enabled': False, 'path': '../tr_models/m_model1'}, 'calc_performance_every': 1}

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 1}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': [''],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0124, TrLoss:  4.64144, VaAcc: 0.0121, VaLoss:  4.64162
  1,  0 | TrAcc: 0.2917, TrLoss:  2.59064, VaAcc: 0.2495, VaLoss:  2.82231
  2,  0 | TrAcc: 0.3355, TrLoss:  2.33187, VaAcc: 0.2831, VaLoss:  2.66976
  3,  0 | TrAcc: 0.3470, TrLoss:  2.26460, VaAcc: 0.3019, VaLoss:  2.62409
  4,  0 | TrAcc: 0.3572, TrLoss:  2.20187, VaAcc: 0.2857, VaLoss:  2.61784
  5,  0 | TrAcc: 0.3675, TrLoss:  2.15229, VaAcc: 0.3040, VaLoss:  2.59137
  6,  0 | TrAcc: 0.3779, TrLoss:  2.10887, VaAcc: 0.3215, VaLoss:  2.55349
  7,  0 | TrAcc: 0.3977, TrLoss:  2.02559, VaAcc: 0.3325, VaLoss:  2.53969
  8,  0 | TrAcc: 0.4063, TrLoss:  2.00204, VaAcc: 0.3407, VaLoss:  2.51653
  9,  0 | TrAcc: 0.4095, TrLoss:  1.99243, VaAcc: 0.3271, VaLoss:  2.53905
 10,  0 | TrAcc: 0.4188, TrLoss:  1.95862, VaAcc: 0.3484, VaLoss:  2.51732
 11,  0 | TrAcc: 0.4196, TrLoss:  1.93358, VaAcc: 0.3530, VaLoss:  2.50141
 12,  0 | TrAcc: 0.4363, TrLoss:  1.88198, VaAcc: 0.3536, VaLoss:  2.50243
 13,  0 | TrAcc: 0.4390, TrLoss:  1.85512, VaAcc: 0.3629, VaLoss:  2.47467
 14,  0 | TrAcc: 0.4376, TrLoss:  1.85107, VaAcc: 0.3670, VaLoss:  2.47759
 15,  0 | TrAcc: 0.4423, TrLoss:  1.83861, VaAcc: 0.3704, VaLoss:  2.44351
 16,  0 | TrAcc: 0.4575, TrLoss:  1.78974, VaAcc: 0.3680, VaLoss:  2.44669
 17,  0 | TrAcc: 0.4522, TrLoss:  1.79278, VaAcc: 0.3739, VaLoss:  2.43972
 18,  0 | TrAcc: 0.4605, TrLoss:  1.76706, VaAcc: 0.3780, VaLoss:  2.44638
 19,  0 | TrAcc: 0.4526, TrLoss:  1.79543, VaAcc: 0.3749, VaLoss:  2.45388
 20,  0 | TrAcc: 0.4561, TrLoss:  1.78903, VaAcc: 0.3715, VaLoss:  2.46813
 21,  0 | TrAcc: 0.4678, TrLoss:  1.75143, VaAcc: 0.3806, VaLoss:  2.45382
 22,  0 | TrAcc: 0.4651, TrLoss:  1.75854, VaAcc: 0.3760, VaLoss:  2.45811
 23,  0 | TrAcc: 0.4643, TrLoss:  1.75726, VaAcc: 0.3719, VaLoss:  2.43337
 24,  0 | TrAcc: 0.4681, TrLoss:  1.73315, VaAcc: 0.3862, VaLoss:  2.43795
 25,  0 | TrAcc: 0.4758, TrLoss:  1.72304, VaAcc: 0.3818, VaLoss:  2.44822
 26,  0 | TrAcc: 0.4737, TrLoss:  1.71862, VaAcc: 0.3928, VaLoss:  2.43072
 27,  0 | TrAcc: 0.4793, TrLoss:  1.70309, VaAcc: 0.3862, VaLoss:  2.42750
 28,  0 | TrAcc: 0.4723, TrLoss:  1.71423, VaAcc: 0.3915, VaLoss:  2.42888
 29,  0 | TrAcc: 0.4792, TrLoss:  1.68607, VaAcc: 0.3765, VaLoss:  2.43937
 30,  0 | TrAcc: 0.4784, TrLoss:  1.68437, VaAcc: 0.3946, VaLoss:  2.44344
 31,  0 | TrAcc: 0.4740, TrLoss:  1.70713, VaAcc: 0.3881, VaLoss:  2.44123
 32,  0 | TrAcc: 0.4747, TrLoss:  1.69822, VaAcc: 0.3857, VaLoss:  2.43812
 33,  0 | TrAcc: 0.4786, TrLoss:  1.70641, VaAcc: 0.3885, VaLoss:  2.46569
 34,  0 | TrAcc: 0.4849, TrLoss:  1.67720, VaAcc: 0.3868, VaLoss:  2.44394
 35,  0 | TrAcc: 0.4916, TrLoss:  1.67359, VaAcc: 0.3844, VaLoss:  2.44577
