{'learning_rate_tau': 10000, 'learning_rate': 0.02, 'task_id': 2, 'mode': {'max_epochs': 100, 'name': 'classic', 'min_error': 0}, 'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'}}
{'remove_bias': False, 'tr': {'minibatch_mode': True, 'max_truncation': 0, 'in_seq_len': 40, 'minibatch_size': 1000}, 'dataset': 'timit', 'va': {'minibatch_mode': False, 'max_truncation': 0, 'in_seq_len': 40, 'minibatch_size': 500}, 'te': {'minibatch_mode': False, 'max_truncation': 0, 'in_seq_len': 40, 'minibatch_size': 500}}
{'discrete_acts': [''], 'weight_type': 'ternary', 'layout': [13, 70, 100, 60], 'n_bins': 2.0, 'layer_configs': [{'layer_type': 'input'}, {'regularization': {'state_zo_prob': 0.05, 'mode': 'none', 'output_zo_prob': 0.01}, 'var_scope': 'lstm_0', 'layer_type': 'lstm', 'init_config': {'i': {'b': 'all_zero', 'w': 'xavier'}, 'f': {'b': 'all_one', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}, 'o': {'b': 'all_zero', 'w': 'xavier'}}}, {'regularization': {'state_zo_prob': 0.05, 'mode': 'none', 'output_zo_prob': 0.01}, 'var_scope': 'lstm_1', 'layer_type': 'lstm', 'init_config': {'i': {'b': 'all_zero', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}, 'f': {'b': 'all_one', 'w': 'xavier'}, 'o': {'b': 'all_zero', 'w': 'xavier'}}}, {'regularization': {'mode': 'l2', 'strength': 0.0}, 'var_scope': 'output_layer', 'layer_type': 'fc', 'init_config': {'b': 'all_zero', 'w': 'xavier'}}], 'output_type': 'classification', 'gradient_clip_value': 0.5}
{'calc_performance_every': 1, 'include_out': False, 'include_pred': False, 'save_model': {'enabled': False, 'path': '../tr_models/m_model2'}}

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 2}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': [''],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0176, TrLoss:  4.60339, VaAcc: 0.0153, VaLoss:  4.59641
  1,  0 | TrAcc: 0.2798, TrLoss:  2.62523, VaAcc: 0.2477, VaLoss:  2.82591
  2,  0 | TrAcc: 0.3320, TrLoss:  2.35024, VaAcc: 0.2967, VaLoss:  2.64351
  3,  0 | TrAcc: 0.3393, TrLoss:  2.29276, VaAcc: 0.2872, VaLoss:  2.67188
  4,  0 | TrAcc: 0.3738, TrLoss:  2.15263, VaAcc: 0.3206, VaLoss:  2.58231
  5,  0 | TrAcc: 0.3888, TrLoss:  2.07850, VaAcc: 0.3234, VaLoss:  2.54519
  6,  0 | TrAcc: 0.3975, TrLoss:  2.04307, VaAcc: 0.3288, VaLoss:  2.52004
  7,  0 | TrAcc: 0.4106, TrLoss:  1.98680, VaAcc: 0.3519, VaLoss:  2.49451
  8,  0 | TrAcc: 0.4175, TrLoss:  1.94722, VaAcc: 0.3448, VaLoss:  2.49686
  9,  0 | TrAcc: 0.4189, TrLoss:  1.93888, VaAcc: 0.3542, VaLoss:  2.48506
 10,  0 | TrAcc: 0.4247, TrLoss:  1.91243, VaAcc: 0.3461, VaLoss:  2.47658
 11,  0 | TrAcc: 0.4286, TrLoss:  1.90546, VaAcc: 0.3508, VaLoss:  2.47486
 12,  0 | TrAcc: 0.4287, TrLoss:  1.89381, VaAcc: 0.3648, VaLoss:  2.47112
 13,  0 | TrAcc: 0.4455, TrLoss:  1.83970, VaAcc: 0.3655, VaLoss:  2.45640
 14,  0 | TrAcc: 0.4445, TrLoss:  1.84153, VaAcc: 0.3644, VaLoss:  2.45872
 15,  0 | TrAcc: 0.4460, TrLoss:  1.81554, VaAcc: 0.3661, VaLoss:  2.45390
 16,  0 | TrAcc: 0.4496, TrLoss:  1.82132, VaAcc: 0.3620, VaLoss:  2.47488
 17,  0 | TrAcc: 0.4565, TrLoss:  1.79964, VaAcc: 0.3730, VaLoss:  2.45132
 18,  0 | TrAcc: 0.4559, TrLoss:  1.78594, VaAcc: 0.3780, VaLoss:  2.42489
 19,  0 | TrAcc: 0.4541, TrLoss:  1.79294, VaAcc: 0.3818, VaLoss:  2.41997
 20,  0 | TrAcc: 0.4643, TrLoss:  1.77417, VaAcc: 0.3823, VaLoss:  2.44718
 21,  0 | TrAcc: 0.4574, TrLoss:  1.77666, VaAcc: 0.3726, VaLoss:  2.45503
 22,  0 | TrAcc: 0.4677, TrLoss:  1.74253, VaAcc: 0.3821, VaLoss:  2.43973
 23,  0 | TrAcc: 0.4677, TrLoss:  1.73862, VaAcc: 0.3795, VaLoss:  2.45817
 24,  0 | TrAcc: 0.4657, TrLoss:  1.72922, VaAcc: 0.3926, VaLoss:  2.44184
 25,  0 | TrAcc: 0.4797, TrLoss:  1.70980, VaAcc: 0.3926, VaLoss:  2.43426
 26,  0 | TrAcc: 0.4749, TrLoss:  1.71326, VaAcc: 0.3674, VaLoss:  2.44831
 27,  0 | TrAcc: 0.4765, TrLoss:  1.71578, VaAcc: 0.3857, VaLoss:  2.45314
 28,  0 | TrAcc: 0.4744, TrLoss:  1.70507, VaAcc: 0.3855, VaLoss:  2.45851
 29,  0 | TrAcc: 0.4815, TrLoss:  1.67598, VaAcc: 0.3803, VaLoss:  2.43935
 30,  0 | TrAcc: 0.4713, TrLoss:  1.71070, VaAcc: 0.3831, VaLoss:  2.46464
 31,  0 | TrAcc: 0.4811, TrLoss:  1.69263, VaAcc: 0.3831, VaLoss:  2.45548
 32,  0 | TrAcc: 0.4727, TrLoss:  1.70261, VaAcc: 0.3829, VaLoss:  2.45324
 33,  0 | TrAcc: 0.4820, TrLoss:  1.68551, VaAcc: 0.3842, VaLoss:  2.46014
 34,  0 | TrAcc: 0.4805, TrLoss:  1.67593, VaAcc: 0.3734, VaLoss:  2.46727
 35,  0 | TrAcc: 0.4809, TrLoss:  1.67777, VaAcc: 0.3866, VaLoss:  2.45681
