{'learning_rate': 0.02, 'batchnorm': {'type': 'none', 'modes': [], 'momentum': 0.98, 'tau': 5}, 'mode': {'min_error': 0, 'name': 'classic', 'max_epochs': 100}, 'task_id': 3, 'learning_rate_tau': 10000}
{'te': {'minibatch_size': 500, 'in_seq_len': 40, 'max_truncation': 0, 'minibatch_mode': False}, 'remove_bias': False, 'dataset': 'timit', 'va': {'minibatch_size': 500, 'in_seq_len': 40, 'max_truncation': 0, 'minibatch_mode': False}, 'tr': {'minibatch_size': 1000, 'in_seq_len': 40, 'max_truncation': 0, 'minibatch_mode': True}}
{'layout': [13, 70, 100, 60], 'output_type': 'classification', 'gradient_clip_value': 0.5, 'layer_configs': [{'layer_type': 'input'}, {'var_scope': 'lstm_0', 'regularization': {'mode': 'none', 'output_zo_prob': 0.01, 'state_zo_prob': 0.05}, 'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'}, 'o': {'b': 'all_zero', 'w': 'xavier'}, 'f': {'b': 'all_one', 'w': 'xavier'}, 'i': {'b': 'all_zero', 'w': 'xavier'}}, 'layer_type': 'lstm'}, {'var_scope': 'lstm_1', 'regularization': {'mode': 'none', 'output_zo_prob': 0.01, 'state_zo_prob': 0.05}, 'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'}, 'i': {'b': 'all_zero', 'w': 'xavier'}, 'o': {'b': 'all_zero', 'w': 'xavier'}, 'f': {'b': 'all_one', 'w': 'xavier'}}, 'layer_type': 'lstm'}, {'var_scope': 'output_layer', 'regularization': {'strength': 0.0, 'mode': 'l2'}, 'init_config': {'b': 'all_zero', 'w': 'xavier'}, 'layer_type': 'fc'}], 'discrete_acts': [''], 'weight_type': 'ternary', 'n_bins': 2.0}
{'save_model': {'enabled': False, 'path': '../tr_models/m_model3'}, 'calc_performance_every': 1, 'include_out': False, 'include_pred': False}

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 3}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': [''],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0184, TrLoss:  4.51851, VaAcc: 0.0201, VaLoss:  4.54347
  1,  0 | TrAcc: 0.3040, TrLoss:  2.52637, VaAcc: 0.2702, VaLoss:  2.72786
  2,  0 | TrAcc: 0.3350, TrLoss:  2.33629, VaAcc: 0.2982, VaLoss:  2.65559
  3,  0 | TrAcc: 0.3501, TrLoss:  2.22941, VaAcc: 0.3081, VaLoss:  2.59801
  4,  0 | TrAcc: 0.3635, TrLoss:  2.18611, VaAcc: 0.3034, VaLoss:  2.57925
  5,  0 | TrAcc: 0.3752, TrLoss:  2.12098, VaAcc: 0.3236, VaLoss:  2.58023
  6,  0 | TrAcc: 0.3705, TrLoss:  2.15143, VaAcc: 0.3070, VaLoss:  2.62170
  7,  0 | TrAcc: 0.3875, TrLoss:  2.06921, VaAcc: 0.3314, VaLoss:  2.55427
  8,  0 | TrAcc: 0.3931, TrLoss:  2.03485, VaAcc: 0.3348, VaLoss:  2.53436
  9,  0 | TrAcc: 0.4032, TrLoss:  1.99913, VaAcc: 0.3394, VaLoss:  2.51787
 10,  0 | TrAcc: 0.4158, TrLoss:  1.94175, VaAcc: 0.3502, VaLoss:  2.50218
 11,  0 | TrAcc: 0.4255, TrLoss:  1.92799, VaAcc: 0.3499, VaLoss:  2.49460
 12,  0 | TrAcc: 0.4298, TrLoss:  1.88559, VaAcc: 0.3599, VaLoss:  2.48109
 13,  0 | TrAcc: 0.4295, TrLoss:  1.88579, VaAcc: 0.3657, VaLoss:  2.45845
 14,  0 | TrAcc: 0.4406, TrLoss:  1.84893, VaAcc: 0.3680, VaLoss:  2.45098
 15,  0 | TrAcc: 0.4377, TrLoss:  1.84995, VaAcc: 0.3739, VaLoss:  2.45465
 16,  0 | TrAcc: 0.4368, TrLoss:  1.84593, VaAcc: 0.3631, VaLoss:  2.45952
 17,  0 | TrAcc: 0.4381, TrLoss:  1.84079, VaAcc: 0.3693, VaLoss:  2.46836
 18,  0 | TrAcc: 0.4398, TrLoss:  1.83435, VaAcc: 0.3644, VaLoss:  2.48306
 19,  0 | TrAcc: 0.4542, TrLoss:  1.78775, VaAcc: 0.3648, VaLoss:  2.46256
 20,  0 | TrAcc: 0.4520, TrLoss:  1.80264, VaAcc: 0.3680, VaLoss:  2.44877
 21,  0 | TrAcc: 0.4499, TrLoss:  1.79853, VaAcc: 0.3629, VaLoss:  2.46989
 22,  0 | TrAcc: 0.4534, TrLoss:  1.78821, VaAcc: 0.3631, VaLoss:  2.47258
 23,  0 | TrAcc: 0.4550, TrLoss:  1.77689, VaAcc: 0.3734, VaLoss:  2.45278
 24,  0 | TrAcc: 0.4551, TrLoss:  1.77561, VaAcc: 0.3745, VaLoss:  2.45098
 25,  0 | TrAcc: 0.4593, TrLoss:  1.76110, VaAcc: 0.3734, VaLoss:  2.45112
 26,  0 | TrAcc: 0.4625, TrLoss:  1.74627, VaAcc: 0.3732, VaLoss:  2.46138
 27,  0 | TrAcc: 0.4647, TrLoss:  1.74194, VaAcc: 0.3711, VaLoss:  2.47344
 28,  0 | TrAcc: 0.4637, TrLoss:  1.73691, VaAcc: 0.3704, VaLoss:  2.47276
 29,  0 | TrAcc: 0.4710, TrLoss:  1.72266, VaAcc: 0.3846, VaLoss:  2.44980
 30,  0 | TrAcc: 0.4665, TrLoss:  1.71996, VaAcc: 0.3814, VaLoss:  2.44913
 31,  0 | TrAcc: 0.4726, TrLoss:  1.72395, VaAcc: 0.3898, VaLoss:  2.43327
 32,  0 | TrAcc: 0.4785, TrLoss:  1.69061, VaAcc: 0.3797, VaLoss:  2.44827
 33,  0 | TrAcc: 0.4805, TrLoss:  1.69244, VaAcc: 0.3892, VaLoss:  2.45369
 34,  0 | TrAcc: 0.4804, TrLoss:  1.69190, VaAcc: 0.3894, VaLoss:  2.44069
 35,  0 | TrAcc: 0.4775, TrLoss:  1.70626, VaAcc: 0.3795, VaLoss:  2.46377
