{'learning_rate_tau': 10000, 'learning_rate': 0.02, 'batchnorm': {'tau': 5, 'modes': [], 'momentum': 0.98, 'type': 'none'}, 'task_id': 7, 'mode': {'min_error': 0, 'name': 'classic', 'max_epochs': 100}}
{'dataset': 'timit', 'te': {'minibatch_mode': False, 'minibatch_size': 500, 'in_seq_len': 40, 'max_truncation': 0}, 'remove_bias': False, 'va': {'minibatch_mode': False, 'minibatch_size': 500, 'in_seq_len': 40, 'max_truncation': 0}, 'tr': {'minibatch_mode': True, 'minibatch_size': 1000, 'in_seq_len': 40, 'max_truncation': 0}}
{'layer_configs': [{'layer_type': 'input'}, {'layer_type': 'lstm', 'init_config': {'f': {'b': 'all_one', 'w': 'xavier'}, 'i': {'b': 'all_zero', 'w': 'xavier'}, 'o': {'b': 'all_zero', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}}, 'var_scope': 'lstm_0', 'regularization': {'state_zo_prob': 0.05, 'output_zo_prob': 0.01, 'mode': 'none'}}, {'layer_type': 'lstm', 'init_config': {'f': {'b': 'all_one', 'w': 'xavier'}, 'i': {'b': 'all_zero', 'w': 'xavier'}, 'o': {'b': 'all_zero', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}}, 'var_scope': 'lstm_1', 'regularization': {'state_zo_prob': 0.05, 'output_zo_prob': 0.01, 'mode': 'none'}}, {'layer_type': 'fc', 'init_config': {'b': 'all_zero', 'w': 'xavier'}, 'var_scope': 'output_layer', 'regularization': {'strength': 0.0, 'mode': 'l2'}}], 'output_type': 'classification', 'weight_type': 'ternary', 'discrete_acts': ['i'], 'layout': [13, 70, 100, 60], 'gradient_clip_value': 0.5, 'n_bins': 2.0}
{'calc_performance_every': 1, 'include_pred': False, 'save_model': {'enabled': False, 'path': '../tr_models/m_model7'}, 'include_out': False}

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 7}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': ['i'],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0146, TrLoss:  4.60932, VaAcc: 0.0129, VaLoss:  4.61004
  1,  0 | TrAcc: 0.2233, TrLoss:  2.93358, VaAcc: 0.1781, VaLoss:  3.14601
  2,  0 | TrAcc: 0.2516, TrLoss:  2.70541, VaAcc: 0.1994, VaLoss:  3.02097
  3,  0 | TrAcc: 0.2712, TrLoss:  2.58875, VaAcc: 0.2124, VaLoss:  2.94288
  4,  0 | TrAcc: 0.2462, TrLoss:  2.70364, VaAcc: 0.1984, VaLoss:  3.07574
  5,  0 | TrAcc: 0.2632, TrLoss:  2.58992, VaAcc: 0.2076, VaLoss:  2.98348
  6,  0 | TrAcc: 0.2803, TrLoss:  2.51957, VaAcc: 0.2197, VaLoss:  2.93670
  7,  0 | TrAcc: 0.2799, TrLoss:  2.52246, VaAcc: 0.2178, VaLoss:  2.96120
  8,  0 | TrAcc: 0.2799, TrLoss:  2.49459, VaAcc: 0.2298, VaLoss:  2.93687
  9,  0 | TrAcc: 0.2891, TrLoss:  2.47569, VaAcc: 0.2413, VaLoss:  2.94149
 10,  0 | TrAcc: 0.2941, TrLoss:  2.42246, VaAcc: 0.2426, VaLoss:  2.89542
 11,  0 | TrAcc: 0.2895, TrLoss:  2.46662, VaAcc: 0.2322, VaLoss:  2.94080
 12,  0 | TrAcc: 0.2788, TrLoss:  2.49400, VaAcc: 0.2288, VaLoss:  2.97837
 13,  0 | TrAcc: 0.2840, TrLoss:  2.50235, VaAcc: 0.2236, VaLoss:  3.01851
 14,  0 | TrAcc: 0.2913, TrLoss:  2.45701, VaAcc: 0.2309, VaLoss:  2.98243
 15,  0 | TrAcc: 0.2940, TrLoss:  2.44569, VaAcc: 0.2266, VaLoss:  2.96698
 16,  0 | TrAcc: 0.2982, TrLoss:  2.41994, VaAcc: 0.2210, VaLoss:  2.97097
 17,  0 | TrAcc: 0.3073, TrLoss:  2.37689, VaAcc: 0.2303, VaLoss:  2.94827
 18,  0 | TrAcc: 0.3068, TrLoss:  2.36225, VaAcc: 0.2395, VaLoss:  2.94670
 19,  0 | TrAcc: 0.3082, TrLoss:  2.34197, VaAcc: 0.2337, VaLoss:  2.93386
 20,  0 | TrAcc: 0.3201, TrLoss:  2.30226, VaAcc: 0.2417, VaLoss:  2.89702
 21,  0 | TrAcc: 0.3246, TrLoss:  2.27877, VaAcc: 0.2473, VaLoss:  2.89972
 22,  0 | TrAcc: 0.3196, TrLoss:  2.28237, VaAcc: 0.2486, VaLoss:  2.87940
 23,  0 | TrAcc: 0.3165, TrLoss:  2.27329, VaAcc: 0.2335, VaLoss:  2.89952
 24,  0 | TrAcc: 0.3306, TrLoss:  2.24517, VaAcc: 0.2512, VaLoss:  2.85424
 25,  0 | TrAcc: 0.3337, TrLoss:  2.23985, VaAcc: 0.2514, VaLoss:  2.85099
 26,  0 | TrAcc: 0.3308, TrLoss:  2.25031, VaAcc: 0.2538, VaLoss:  2.87232
 27,  0 | TrAcc: 0.3297, TrLoss:  2.25231, VaAcc: 0.2508, VaLoss:  2.88564
 28,  0 | TrAcc: 0.3349, TrLoss:  2.23621, VaAcc: 0.2443, VaLoss:  2.86637
 29,  0 | TrAcc: 0.3455, TrLoss:  2.19036, VaAcc: 0.2615, VaLoss:  2.84592
 30,  0 | TrAcc: 0.3539, TrLoss:  2.18984, VaAcc: 0.2654, VaLoss:  2.84192
 31,  0 | TrAcc: 0.3522, TrLoss:  2.16985, VaAcc: 0.2626, VaLoss:  2.82043
 32,  0 | TrAcc: 0.3544, TrLoss:  2.15401, VaAcc: 0.2702, VaLoss:  2.82168
 33,  0 | TrAcc: 0.3532, TrLoss:  2.16708, VaAcc: 0.2561, VaLoss:  2.84107
 34,  0 | TrAcc: 0.3492, TrLoss:  2.16024, VaAcc: 0.2740, VaLoss:  2.81866
 35,  0 | TrAcc: 0.3604, TrLoss:  2.13944, VaAcc: 0.2639, VaLoss:  2.81667
 36,  0 | TrAcc: 0.3582, TrLoss:  2.14389, VaAcc: 0.2779, VaLoss:  2.80389
 37,  0 | TrAcc: 0.3494, TrLoss:  2.15632, VaAcc: 0.2704, VaLoss:  2.81758
 38,  0 | TrAcc: 0.3564, TrLoss:  2.14521, VaAcc: 0.2702, VaLoss:  2.82257
 39,  0 | TrAcc: 0.3530, TrLoss:  2.14213, VaAcc: 0.2596, VaLoss:  2.81934
 40,  0 | TrAcc: 0.3555, TrLoss:  2.14116, VaAcc: 0.2738, VaLoss:  2.81625
 41,  0 | TrAcc: 0.3620, TrLoss:  2.11991, VaAcc: 0.2820, VaLoss:  2.80679
 42,  0 | TrAcc: 0.3657, TrLoss:  2.11538, VaAcc: 0.2788, VaLoss:  2.80695
 43,  0 | TrAcc: 0.3588, TrLoss:  2.12176, VaAcc: 0.2788, VaLoss:  2.82116
 44,  0 | TrAcc: 0.3636, TrLoss:  2.11705, VaAcc: 0.2687, VaLoss:  2.81546
 45,  0 | TrAcc: 0.3647, TrLoss:  2.12046, VaAcc: 0.2715, VaLoss:  2.82288
 46,  0 | TrAcc: 0.3620, TrLoss:  2.12470, VaAcc: 0.2773, VaLoss:  2.81963
 47,  0 | TrAcc: 0.3567, TrLoss:  2.14824, VaAcc: 0.2760, VaLoss:  2.81923
 48,  0 | TrAcc: 0.3612, TrLoss:  2.14051, VaAcc: 0.2766, VaLoss:  2.82465
 49,  0 | TrAcc: 0.3575, TrLoss:  2.15054, VaAcc: 0.2792, VaLoss:  2.82344
 50,  0 | TrAcc: 0.3617, TrLoss:  2.14174, VaAcc: 0.2861, VaLoss:  2.83703
 51,  0 | TrAcc: 0.3670, TrLoss:  2.12825, VaAcc: 0.2755, VaLoss:  2.84982
 52,  0 | TrAcc: 0.3550, TrLoss:  2.15968, VaAcc: 0.2755, VaLoss:  2.85847
 53,  0 | TrAcc: 0.3500, TrLoss:  2.16780, VaAcc: 0.2721, VaLoss:  2.86679
 54,  0 | TrAcc: 0.3481, TrLoss:  2.18788, VaAcc: 0.2740, VaLoss:  2.86810
 55,  0 | TrAcc: 0.3519, TrLoss:  2.18235, VaAcc: 0.2620, VaLoss:  2.86437
 56,  0 | TrAcc: 0.3555, TrLoss:  2.16648, VaAcc: 0.2747, VaLoss:  2.86116
 57,  0 | TrAcc: 0.3524, TrLoss:  2.17565, VaAcc: 0.2723, VaLoss:  2.87130
 58,  0 | TrAcc: 0.3549, TrLoss:  2.16384, VaAcc: 0.2697, VaLoss:  2.86089
 59,  0 | TrAcc: 0.3537, TrLoss:  2.16302, VaAcc: 0.2542, VaLoss:  2.88506
 60,  0 | TrAcc: 0.3530, TrLoss:  2.16406, VaAcc: 0.2641, VaLoss:  2.87628
 61,  0 | TrAcc: 0.3559, TrLoss:  2.14548, VaAcc: 0.2643, VaLoss:  2.87359
 62,  0 | TrAcc: 0.3527, TrLoss:  2.14650, VaAcc: 0.2607, VaLoss:  2.87402
 63,  0 | TrAcc: 0.3503, TrLoss:  2.14920, VaAcc: 0.2641, VaLoss:  2.87378
 64,  0 | TrAcc: 0.3523, TrLoss:  2.15211, VaAcc: 0.2682, VaLoss:  2.88806
 65,  0 | TrAcc: 0.3536, TrLoss:  2.14413, VaAcc: 0.2758, VaLoss:  2.86262
 66,  0 | TrAcc: 0.3597, TrLoss:  2.14248, VaAcc: 0.2730, VaLoss:  2.86990
 67,  0 | TrAcc: 0.3596, TrLoss:  2.13527, VaAcc: 0.2734, VaLoss:  2.86799
 68,  0 | TrAcc: 0.3529, TrLoss:  2.14349, VaAcc: 0.2620, VaLoss:  2.88070
 69,  0 | TrAcc: 0.3607, TrLoss:  2.13280, VaAcc: 0.2665, VaLoss:  2.87365
 70,  0 | TrAcc: 0.3663, TrLoss:  2.12467, VaAcc: 0.2553, VaLoss:  2.86611
 71,  0 | TrAcc: 0.3645, TrLoss:  2.11811, VaAcc: 0.2807, VaLoss:  2.85572
 72,  0 | TrAcc: 0.3585, TrLoss:  2.13939, VaAcc: 0.2790, VaLoss:  2.85838
 73,  0 | TrAcc: 0.3628, TrLoss:  2.13201, VaAcc: 0.2751, VaLoss:  2.86201
 74,  0 | TrAcc: 0.3610, TrLoss:  2.13746, VaAcc: 0.2652, VaLoss:  2.86342
 75,  0 | TrAcc: 0.3570, TrLoss:  2.13211, VaAcc: 0.2736, VaLoss:  2.87819
 76,  0 | TrAcc: 0.3590, TrLoss:  2.13410, VaAcc: 0.2652, VaLoss:  2.87204
 77,  0 | TrAcc: 0.3547, TrLoss:  2.15544, VaAcc: 0.2583, VaLoss:  2.89385
 78,  0 | TrAcc: 0.3563, TrLoss:  2.15762, VaAcc: 0.2596, VaLoss:  2.88501
 79,  0 | TrAcc: 0.3562, TrLoss:  2.16184, VaAcc: 0.2771, VaLoss:  2.88493
 80,  0 | TrAcc: 0.3610, TrLoss:  2.13970, VaAcc: 0.2602, VaLoss:  2.89046
 81,  0 | TrAcc: 0.3583, TrLoss:  2.15728, VaAcc: 0.2639, VaLoss:  2.88757
 82,  0 | TrAcc: 0.3613, TrLoss:  2.15315, VaAcc: 0.2533, VaLoss:  2.89594
 83,  0 | TrAcc: 0.3531, TrLoss:  2.14189, VaAcc: 0.2643, VaLoss:  2.89725
 84,  0 | TrAcc: 0.3678, TrLoss:  2.11628, VaAcc: 0.2680, VaLoss:  2.87780
 85,  0 | TrAcc: 0.3558, TrLoss:  2.16358, VaAcc: 0.2788, VaLoss:  2.88422
 86,  0 | TrAcc: 0.3595, TrLoss:  2.13970, VaAcc: 0.2753, VaLoss:  2.88592
 87,  0 | TrAcc: 0.3708, TrLoss:  2.11677, VaAcc: 0.2725, VaLoss:  2.88073
 88,  0 | TrAcc: 0.3659, TrLoss:  2.12250, VaAcc: 0.2574, VaLoss:  2.88016
 89,  0 | TrAcc: 0.3678, TrLoss:  2.13131, VaAcc: 0.2598, VaLoss:  2.87978
 90,  0 | TrAcc: 0.3623, TrLoss:  2.12903, VaAcc: 0.2691, VaLoss:  2.88154
 91,  0 | TrAcc: 0.3681, TrLoss:  2.12308, VaAcc: 0.2607, VaLoss:  2.88314
 92,  0 | TrAcc: 0.3609, TrLoss:  2.12636, VaAcc: 0.2622, VaLoss:  2.89404
 93,  0 | TrAcc: 0.3644, TrLoss:  2.12024, VaAcc: 0.2687, VaLoss:  2.89103
 94,  0 | TrAcc: 0.3601, TrLoss:  2.13338, VaAcc: 0.2572, VaLoss:  2.89461
