{'task_id': 12, 'batchnorm': {'tau': 5, 'type': 'none', 'momentum': 0.98, 'modes': []}, 'learning_rate': 0.02, 'mode': {'min_error': 0, 'max_epochs': 100, 'name': 'classic'}, 'learning_rate_tau': 10000}
{'remove_bias': False, 'tr': {'in_seq_len': 40, 'minibatch_mode': True, 'minibatch_size': 1000, 'max_truncation': 0}, 'te': {'in_seq_len': 40, 'minibatch_mode': False, 'minibatch_size': 500, 'max_truncation': 0}, 'dataset': 'timit', 'va': {'in_seq_len': 40, 'minibatch_mode': False, 'minibatch_size': 500, 'max_truncation': 0}}
{'n_bins': 2.0, 'layer_configs': [{'layer_type': 'input'}, {'regularization': {'state_zo_prob': 0.05, 'output_zo_prob': 0.01, 'mode': 'none'}, 'var_scope': 'lstm_0', 'layer_type': 'lstm', 'init_config': {'i': {'b': 'all_zero', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}, 'f': {'b': 'all_one', 'w': 'xavier'}, 'o': {'b': 'all_zero', 'w': 'xavier'}}}, {'regularization': {'state_zo_prob': 0.05, 'output_zo_prob': 0.01, 'mode': 'none'}, 'var_scope': 'lstm_1', 'init_config': {'i': {'b': 'all_zero', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}, 'o': {'b': 'all_zero', 'w': 'xavier'}, 'f': {'b': 'all_one', 'w': 'xavier'}}, 'layer_type': 'lstm'}, {'regularization': {'mode': 'l2', 'strength': 0.0}, 'var_scope': 'output_layer', 'init_config': {'b': 'all_zero', 'w': 'xavier'}, 'layer_type': 'fc'}], 'output_type': 'classification', 'gradient_clip_value': 0.5, 'layout': [13, 70, 100, 60], 'weight_type': 'ternary', 'discrete_acts': ['o']}
{'include_pred': False, 'include_out': False, 'calc_performance_every': 1, 'save_model': {'enabled': False, 'path': '../tr_models/m_model12'}}

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 12}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': ['o'],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0153, TrLoss:  4.55921, VaAcc: 0.0127, VaLoss:  4.54871
  1,  0 | TrAcc: 0.2531, TrLoss:  2.78503, VaAcc: 0.2139, VaLoss:  2.97498
  2,  0 | TrAcc: 0.3058, TrLoss:  2.46108, VaAcc: 0.2602, VaLoss:  2.77535
  3,  0 | TrAcc: 0.3237, TrLoss:  2.37134, VaAcc: 0.2715, VaLoss:  2.74786
  4,  0 | TrAcc: 0.3269, TrLoss:  2.33913, VaAcc: 0.2730, VaLoss:  2.73709
  5,  0 | TrAcc: 0.3425, TrLoss:  2.26432, VaAcc: 0.2790, VaLoss:  2.68963
  6,  0 | TrAcc: 0.3472, TrLoss:  2.23641, VaAcc: 0.3023, VaLoss:  2.68058
  7,  0 | TrAcc: 0.3575, TrLoss:  2.18197, VaAcc: 0.2896, VaLoss:  2.68996
  8,  0 | TrAcc: 0.3595, TrLoss:  2.15156, VaAcc: 0.3062, VaLoss:  2.63847
  9,  0 | TrAcc: 0.3810, TrLoss:  2.09656, VaAcc: 0.3105, VaLoss:  2.62854
 10,  0 | TrAcc: 0.3733, TrLoss:  2.12751, VaAcc: 0.2928, VaLoss:  2.67555
 11,  0 | TrAcc: 0.3790, TrLoss:  2.07855, VaAcc: 0.3165, VaLoss:  2.62959
 12,  0 | TrAcc: 0.3899, TrLoss:  2.04081, VaAcc: 0.3167, VaLoss:  2.60933
 13,  0 | TrAcc: 0.3942, TrLoss:  2.02334, VaAcc: 0.3387, VaLoss:  2.59700
 14,  0 | TrAcc: 0.3924, TrLoss:  2.02974, VaAcc: 0.3277, VaLoss:  2.61521
 15,  0 | TrAcc: 0.3847, TrLoss:  2.03757, VaAcc: 0.3277, VaLoss:  2.60313
 16,  0 | TrAcc: 0.3978, TrLoss:  2.00455, VaAcc: 0.3303, VaLoss:  2.61157
 17,  0 | TrAcc: 0.4003, TrLoss:  1.98725, VaAcc: 0.3221, VaLoss:  2.61701
 18,  0 | TrAcc: 0.3926, TrLoss:  2.02409, VaAcc: 0.3213, VaLoss:  2.63601
 19,  0 | TrAcc: 0.3888, TrLoss:  2.03232, VaAcc: 0.3116, VaLoss:  2.64535
 20,  0 | TrAcc: 0.4039, TrLoss:  1.97651, VaAcc: 0.3256, VaLoss:  2.61054
 21,  0 | TrAcc: 0.4069, TrLoss:  1.97143, VaAcc: 0.3223, VaLoss:  2.63620
 22,  0 | TrAcc: 0.4091, TrLoss:  1.97174, VaAcc: 0.3230, VaLoss:  2.62870
 23,  0 | TrAcc: 0.4143, TrLoss:  1.95194, VaAcc: 0.3223, VaLoss:  2.62942
 24,  0 | TrAcc: 0.4175, TrLoss:  1.94644, VaAcc: 0.3316, VaLoss:  2.61305
 25,  0 | TrAcc: 0.4171, TrLoss:  1.94432, VaAcc: 0.3273, VaLoss:  2.62928
 26,  0 | TrAcc: 0.4193, TrLoss:  1.93674, VaAcc: 0.3331, VaLoss:  2.60153
 27,  0 | TrAcc: 0.4182, TrLoss:  1.93276, VaAcc: 0.3372, VaLoss:  2.61789
 28,  0 | TrAcc: 0.4170, TrLoss:  1.92640, VaAcc: 0.3392, VaLoss:  2.60183
 29,  0 | TrAcc: 0.4229, TrLoss:  1.89288, VaAcc: 0.3413, VaLoss:  2.60673
 30,  0 | TrAcc: 0.4202, TrLoss:  1.90220, VaAcc: 0.3290, VaLoss:  2.60780
 31,  0 | TrAcc: 0.4295, TrLoss:  1.87213, VaAcc: 0.3536, VaLoss:  2.58695
 32,  0 | TrAcc: 0.4235, TrLoss:  1.89147, VaAcc: 0.3385, VaLoss:  2.58913
 33,  0 | TrAcc: 0.4261, TrLoss:  1.87881, VaAcc: 0.3351, VaLoss:  2.60564
 34,  0 | TrAcc: 0.4363, TrLoss:  1.85711, VaAcc: 0.3433, VaLoss:  2.58076
 35,  0 | TrAcc: 0.4299, TrLoss:  1.85687, VaAcc: 0.3288, VaLoss:  2.58805
