{'learning_rate': 0.02, 'learning_rate_tau': 10000, 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'}, 'task_id': 13, 'batchnorm': {'momentum': 0.98, 'modes': [], 'type': 'none', 'tau': 5}}
{'tr': {'in_seq_len': 40, 'minibatch_mode': True, 'minibatch_size': 1000, 'max_truncation': 0}, 'va': {'in_seq_len': 40, 'minibatch_mode': False, 'minibatch_size': 500, 'max_truncation': 0}, 'remove_bias': False, 'te': {'in_seq_len': 40, 'minibatch_mode': False, 'minibatch_size': 500, 'max_truncation': 0}, 'dataset': 'timit'}
{'discrete_acts': ['o'], 'gradient_clip_value': 0.5, 'output_type': 'classification', 'n_bins': 2.0, 'weight_type': 'ternary', 'layer_configs': [{'layer_type': 'input'}, {'layer_type': 'lstm', 'init_config': {'o': {'b': 'all_zero', 'w': 'xavier'}, 'i': {'b': 'all_zero', 'w': 'xavier'}, 'f': {'b': 'all_one', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}}, 'var_scope': 'lstm_0', 'regularization': {'mode': 'none', 'output_zo_prob': 0.01, 'state_zo_prob': 0.05}}, {'init_config': {'o': {'b': 'all_zero', 'w': 'xavier'}, 'i': {'b': 'all_zero', 'w': 'xavier'}, 'f': {'b': 'all_one', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}}, 'layer_type': 'lstm', 'var_scope': 'lstm_1', 'regularization': {'mode': 'none', 'output_zo_prob': 0.01, 'state_zo_prob': 0.05}}, {'init_config': {'b': 'all_zero', 'w': 'xavier'}, 'layer_type': 'fc', 'var_scope': 'output_layer', 'regularization': {'strength': 0.0, 'mode': 'l2'}}], 'layout': [13, 70, 100, 60]}
{'include_out': False, 'include_pred': False, 'calc_performance_every': 1, 'save_model': {'enabled': False, 'path': '../tr_models/m_model13'}}

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 13}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': ['o'],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0158, TrLoss:  4.58315, VaAcc: 0.0162, VaLoss:  4.57444
  1,  0 | TrAcc: 0.2511, TrLoss:  2.81762, VaAcc: 0.2033, VaLoss:  3.02392
  2,  0 | TrAcc: 0.2997, TrLoss:  2.49278, VaAcc: 0.2600, VaLoss:  2.80410
  3,  0 | TrAcc: 0.3243, TrLoss:  2.35911, VaAcc: 0.2844, VaLoss:  2.71881
  4,  0 | TrAcc: 0.3358, TrLoss:  2.31771, VaAcc: 0.2820, VaLoss:  2.70090
  5,  0 | TrAcc: 0.3565, TrLoss:  2.19795, VaAcc: 0.3107, VaLoss:  2.65636
  6,  0 | TrAcc: 0.3598, TrLoss:  2.18340, VaAcc: 0.2975, VaLoss:  2.66557
  7,  0 | TrAcc: 0.3705, TrLoss:  2.13727, VaAcc: 0.3193, VaLoss:  2.60236
  8,  0 | TrAcc: 0.3848, TrLoss:  2.07785, VaAcc: 0.3208, VaLoss:  2.58383
  9,  0 | TrAcc: 0.3792, TrLoss:  2.08789, VaAcc: 0.3295, VaLoss:  2.60128
 10,  0 | TrAcc: 0.3796, TrLoss:  2.08038, VaAcc: 0.3204, VaLoss:  2.60521
 11,  0 | TrAcc: 0.3984, TrLoss:  2.04085, VaAcc: 0.3327, VaLoss:  2.59695
 12,  0 | TrAcc: 0.4039, TrLoss:  1.99484, VaAcc: 0.3404, VaLoss:  2.56844
 13,  0 | TrAcc: 0.4012, TrLoss:  1.97949, VaAcc: 0.3404, VaLoss:  2.54961
 14,  0 | TrAcc: 0.4058, TrLoss:  1.99074, VaAcc: 0.3357, VaLoss:  2.56123
 15,  0 | TrAcc: 0.4187, TrLoss:  1.93862, VaAcc: 0.3374, VaLoss:  2.56240
 16,  0 | TrAcc: 0.4180, TrLoss:  1.95105, VaAcc: 0.3379, VaLoss:  2.54592
 17,  0 | TrAcc: 0.4254, TrLoss:  1.90251, VaAcc: 0.3527, VaLoss:  2.52740
 18,  0 | TrAcc: 0.4262, TrLoss:  1.90318, VaAcc: 0.3588, VaLoss:  2.53100
 19,  0 | TrAcc: 0.4214, TrLoss:  1.89705, VaAcc: 0.3596, VaLoss:  2.52731
 20,  0 | TrAcc: 0.4358, TrLoss:  1.86178, VaAcc: 0.3668, VaLoss:  2.49820
 21,  0 | TrAcc: 0.4318, TrLoss:  1.87079, VaAcc: 0.3605, VaLoss:  2.52941
 22,  0 | TrAcc: 0.4409, TrLoss:  1.85422, VaAcc: 0.3620, VaLoss:  2.52232
 23,  0 | TrAcc: 0.4432, TrLoss:  1.84614, VaAcc: 0.3818, VaLoss:  2.50781
 24,  0 | TrAcc: 0.4432, TrLoss:  1.83924, VaAcc: 0.3670, VaLoss:  2.50352
 25,  0 | TrAcc: 0.4477, TrLoss:  1.83234, VaAcc: 0.3605, VaLoss:  2.51962
 26,  0 | TrAcc: 0.4452, TrLoss:  1.83242, VaAcc: 0.3749, VaLoss:  2.50968
 27,  0 | TrAcc: 0.4489, TrLoss:  1.80130, VaAcc: 0.3609, VaLoss:  2.50181
 28,  0 | TrAcc: 0.4450, TrLoss:  1.82184, VaAcc: 0.3706, VaLoss:  2.50272
 29,  0 | TrAcc: 0.4449, TrLoss:  1.83347, VaAcc: 0.3599, VaLoss:  2.53140
 30,  0 | TrAcc: 0.4471, TrLoss:  1.81021, VaAcc: 0.3618, VaLoss:  2.51413
 31,  0 | TrAcc: 0.4510, TrLoss:  1.81212, VaAcc: 0.3646, VaLoss:  2.50819
 32,  0 | TrAcc: 0.4504, TrLoss:  1.80675, VaAcc: 0.3631, VaLoss:  2.51883
 33,  0 | TrAcc: 0.4565, TrLoss:  1.77464, VaAcc: 0.3747, VaLoss:  2.51161
 34,  0 | TrAcc: 0.4535, TrLoss:  1.78142, VaAcc: 0.3668, VaLoss:  2.50965
 35,  0 | TrAcc: 0.4681, TrLoss:  1.74154, VaAcc: 0.3708, VaLoss:  2.49656
 36,  0 | TrAcc: 0.4579, TrLoss:  1.74833, VaAcc: 0.3627, VaLoss:  2.49903
 37,  0 | TrAcc: 0.4598, TrLoss:  1.76285, VaAcc: 0.3670, VaLoss:  2.48677
 38,  0 | TrAcc: 0.4637, TrLoss:  1.74551, VaAcc: 0.3762, VaLoss:  2.49704
 39,  0 | TrAcc: 0.4716, TrLoss:  1.71995, VaAcc: 0.3762, VaLoss:  2.50010
