{'learning_rate_tau': 10000, 'mode': {'name': 'classic', 'min_error': 0, 'max_epochs': 100}, 'batchnorm': {'momentum': 0.98, 'modes': [], 'tau': 5, 'type': 'none'}, 'learning_rate': 0.02, 'task_id': 15}
{'dataset': 'timit', 'va': {'max_truncation': 0, 'in_seq_len': 40, 'minibatch_mode': False, 'minibatch_size': 500}, 'remove_bias': False, 'tr': {'max_truncation': 0, 'in_seq_len': 40, 'minibatch_mode': True, 'minibatch_size': 1000}, 'te': {'max_truncation': 0, 'in_seq_len': 40, 'minibatch_mode': False, 'minibatch_size': 500}}
{'n_bins': 2.0, 'gradient_clip_value': 0.5, 'layer_configs': [{'layer_type': 'input'}, {'layer_type': 'lstm', 'regularization': {'mode': 'none', 'state_zo_prob': 0.05, 'output_zo_prob': 0.01}, 'var_scope': 'lstm_0', 'init_config': {'i': {'w': 'xavier', 'b': 'all_zero'}, 'c': {'w': 'xavier', 'b': 'all_zero'}, 'o': {'w': 'xavier', 'b': 'all_zero'}, 'f': {'w': 'xavier', 'b': 'all_one'}}}, {'layer_type': 'lstm', 'regularization': {'mode': 'none', 'output_zo_prob': 0.01, 'state_zo_prob': 0.05}, 'var_scope': 'lstm_1', 'init_config': {'i': {'b': 'all_zero', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}, 'o': {'b': 'all_zero', 'w': 'xavier'}, 'f': {'b': 'all_one', 'w': 'xavier'}}}, {'layer_type': 'fc', 'regularization': {'mode': 'l2', 'strength': 0.0}, 'var_scope': 'output_layer', 'init_config': {'b': 'all_zero', 'w': 'xavier'}}], 'layout': [13, 70, 100, 60], 'weight_type': 'ternary', 'output_type': 'classification', 'discrete_acts': ['o']}
{'include_out': False, 'calc_performance_every': 1, 'include_pred': False, 'save_model': {'enabled': False, 'path': '../tr_models/m_model15'}}

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 15}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': ['o'],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0168, TrLoss:  4.51435, VaAcc: 0.0144, VaLoss:  4.53211
  1,  0 | TrAcc: 0.2489, TrLoss:  2.78181, VaAcc: 0.2173, VaLoss:  2.97030
  2,  0 | TrAcc: 0.2951, TrLoss:  2.49996, VaAcc: 0.2510, VaLoss:  2.79921
  3,  0 | TrAcc: 0.3202, TrLoss:  2.36381, VaAcc: 0.2777, VaLoss:  2.74378
  4,  0 | TrAcc: 0.3494, TrLoss:  2.26031, VaAcc: 0.2930, VaLoss:  2.66411
  5,  0 | TrAcc: 0.3514, TrLoss:  2.23336, VaAcc: 0.3008, VaLoss:  2.66860
  6,  0 | TrAcc: 0.3545, TrLoss:  2.19684, VaAcc: 0.3012, VaLoss:  2.66042
  7,  0 | TrAcc: 0.3675, TrLoss:  2.14859, VaAcc: 0.3070, VaLoss:  2.63703
  8,  0 | TrAcc: 0.3794, TrLoss:  2.10939, VaAcc: 0.3146, VaLoss:  2.63242
  9,  0 | TrAcc: 0.3809, TrLoss:  2.07436, VaAcc: 0.3316, VaLoss:  2.59504
 10,  0 | TrAcc: 0.3953, TrLoss:  2.03131, VaAcc: 0.3417, VaLoss:  2.58098
 11,  0 | TrAcc: 0.3992, TrLoss:  2.00333, VaAcc: 0.3348, VaLoss:  2.56875
 12,  0 | TrAcc: 0.4113, TrLoss:  1.95769, VaAcc: 0.3458, VaLoss:  2.54431
 13,  0 | TrAcc: 0.4116, TrLoss:  1.95993, VaAcc: 0.3534, VaLoss:  2.53266
 14,  0 | TrAcc: 0.4115, TrLoss:  1.94698, VaAcc: 0.3519, VaLoss:  2.55174
 15,  0 | TrAcc: 0.4083, TrLoss:  1.95857, VaAcc: 0.3566, VaLoss:  2.54083
 16,  0 | TrAcc: 0.4155, TrLoss:  1.92913, VaAcc: 0.3534, VaLoss:  2.52929
 17,  0 | TrAcc: 0.4191, TrLoss:  1.91171, VaAcc: 0.3467, VaLoss:  2.53616
 18,  0 | TrAcc: 0.4284, TrLoss:  1.87739, VaAcc: 0.3566, VaLoss:  2.52256
 19,  0 | TrAcc: 0.4405, TrLoss:  1.85624, VaAcc: 0.3726, VaLoss:  2.49652
 20,  0 | TrAcc: 0.4388, TrLoss:  1.86853, VaAcc: 0.3693, VaLoss:  2.50196
 21,  0 | TrAcc: 0.4322, TrLoss:  1.86014, VaAcc: 0.3568, VaLoss:  2.51121
 22,  0 | TrAcc: 0.4440, TrLoss:  1.82788, VaAcc: 0.3603, VaLoss:  2.51084
 23,  0 | TrAcc: 0.4333, TrLoss:  1.84628, VaAcc: 0.3685, VaLoss:  2.50557
 24,  0 | TrAcc: 0.4380, TrLoss:  1.83706, VaAcc: 0.3678, VaLoss:  2.51336
 25,  0 | TrAcc: 0.4484, TrLoss:  1.81406, VaAcc: 0.3627, VaLoss:  2.52075
 26,  0 | TrAcc: 0.4430, TrLoss:  1.81573, VaAcc: 0.3618, VaLoss:  2.52764
 27,  0 | TrAcc: 0.4493, TrLoss:  1.80398, VaAcc: 0.3771, VaLoss:  2.49571
 28,  0 | TrAcc: 0.4562, TrLoss:  1.79330, VaAcc: 0.3715, VaLoss:  2.51274
 29,  0 | TrAcc: 0.4476, TrLoss:  1.79045, VaAcc: 0.3706, VaLoss:  2.51127
 30,  0 | TrAcc: 0.4478, TrLoss:  1.78473, VaAcc: 0.3775, VaLoss:  2.49270
 31,  0 | TrAcc: 0.4516, TrLoss:  1.79747, VaAcc: 0.3700, VaLoss:  2.52810
 32,  0 | TrAcc: 0.4579, TrLoss:  1.77007, VaAcc: 0.3780, VaLoss:  2.49439
 33,  0 | TrAcc: 0.4672, TrLoss:  1.74955, VaAcc: 0.3797, VaLoss:  2.48058
 34,  0 | TrAcc: 0.4558, TrLoss:  1.77441, VaAcc: 0.3767, VaLoss:  2.49783
 35,  0 | TrAcc: 0.4701, TrLoss:  1.73731, VaAcc: 0.3801, VaLoss:  2.49236
 36,  0 | TrAcc: 0.4611, TrLoss:  1.76179, VaAcc: 0.3818, VaLoss:  2.50842
 37,  0 | TrAcc: 0.4612, TrLoss:  1.75128, VaAcc: 0.3715, VaLoss:  2.51383
 38,  0 | TrAcc: 0.4679, TrLoss:  1.72876, VaAcc: 0.3790, VaLoss:  2.49078
 39,  0 | TrAcc: 0.4650, TrLoss:  1.72985, VaAcc: 0.3780, VaLoss:  2.47934
 40,  0 | TrAcc: 0.4687, TrLoss:  1.72653, VaAcc: 0.3670, VaLoss:  2.49571
