{'learning_rate_tau': 10000, 'task_id': 17, 'batchnorm': {'momentum': 0.98, 'modes': [], 'type': 'none', 'tau': 5}, 'learning_rate': 0.02, 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'}}
{'tr': {'minibatch_size': 1000, 'minibatch_mode': True, 'max_truncation': 0, 'in_seq_len': 40}, 'remove_bias': False, 'va': {'minibatch_size': 500, 'minibatch_mode': False, 'max_truncation': 0, 'in_seq_len': 40}, 'dataset': 'timit', 'te': {'minibatch_size': 500, 'minibatch_mode': False, 'max_truncation': 0, 'in_seq_len': 40}}
{'layout': [13, 70, 100, 60], 'weight_type': 'ternary', 'gradient_clip_value': 0.5, 'discrete_acts': ['i', 'c'], 'output_type': 'classification', 'n_bins': 2.0, 'layer_configs': [{'layer_type': 'input'}, {'var_scope': 'lstm_0', 'init_config': {'o': {'b': 'all_zero', 'w': 'xavier'}, 'f': {'b': 'all_one', 'w': 'xavier'}, 'i': {'b': 'all_zero', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}}, 'regularization': {'mode': 'none', 'state_zo_prob': 0.05, 'output_zo_prob': 0.01}, 'layer_type': 'lstm'}, {'var_scope': 'lstm_1', 'init_config': {'o': {'b': 'all_zero', 'w': 'xavier'}, 'f': {'b': 'all_one', 'w': 'xavier'}, 'i': {'b': 'all_zero', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}}, 'regularization': {'output_zo_prob': 0.01, 'state_zo_prob': 0.05, 'mode': 'none'}, 'layer_type': 'lstm'}, {'var_scope': 'output_layer', 'init_config': {'b': 'all_zero', 'w': 'xavier'}, 'regularization': {'strength': 0.0, 'mode': 'l2'}, 'layer_type': 'fc'}]}
{'save_model': {'enabled': False, 'path': '../tr_models/m_model17'}, 'include_out': False, 'include_pred': False, 'calc_performance_every': 1}

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 17}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': ['i', 'c'],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0131, TrLoss:  4.60178, VaAcc: 0.0185, VaLoss:  4.57949
  1,  0 | TrAcc: 0.2792, TrLoss:  2.66912, VaAcc: 0.2326, VaLoss:  2.87948
  2,  0 | TrAcc: 0.3111, TrLoss:  2.43898, VaAcc: 0.2751, VaLoss:  2.71654
  3,  0 | TrAcc: 0.3392, TrLoss:  2.29751, VaAcc: 0.2885, VaLoss:  2.64831
  4,  0 | TrAcc: 0.3532, TrLoss:  2.21576, VaAcc: 0.3079, VaLoss:  2.60344
  5,  0 | TrAcc: 0.3685, TrLoss:  2.14660, VaAcc: 0.3042, VaLoss:  2.56581
  6,  0 | TrAcc: 0.3761, TrLoss:  2.11186, VaAcc: 0.3137, VaLoss:  2.55963
  7,  0 | TrAcc: 0.3756, TrLoss:  2.08890, VaAcc: 0.3260, VaLoss:  2.54920
  8,  0 | TrAcc: 0.3923, TrLoss:  2.04577, VaAcc: 0.3208, VaLoss:  2.53636
  9,  0 | TrAcc: 0.3988, TrLoss:  2.02637, VaAcc: 0.3288, VaLoss:  2.52086
 10,  0 | TrAcc: 0.4030, TrLoss:  2.01112, VaAcc: 0.3327, VaLoss:  2.53904
 11,  0 | TrAcc: 0.4111, TrLoss:  1.99454, VaAcc: 0.3376, VaLoss:  2.51440
 12,  0 | TrAcc: 0.4022, TrLoss:  2.00062, VaAcc: 0.3374, VaLoss:  2.54036
 13,  0 | TrAcc: 0.4140, TrLoss:  1.96295, VaAcc: 0.3441, VaLoss:  2.51185
 14,  0 | TrAcc: 0.4062, TrLoss:  1.96563, VaAcc: 0.3504, VaLoss:  2.50904
 15,  0 | TrAcc: 0.4213, TrLoss:  1.93196, VaAcc: 0.3458, VaLoss:  2.50644
 16,  0 | TrAcc: 0.4108, TrLoss:  1.95969, VaAcc: 0.3549, VaLoss:  2.51782
 17,  0 | TrAcc: 0.4291, TrLoss:  1.90504, VaAcc: 0.3611, VaLoss:  2.49142
 18,  0 | TrAcc: 0.4268, TrLoss:  1.91785, VaAcc: 0.3558, VaLoss:  2.50633
 19,  0 | TrAcc: 0.4172, TrLoss:  1.92666, VaAcc: 0.3486, VaLoss:  2.51187
 20,  0 | TrAcc: 0.4230, TrLoss:  1.91000, VaAcc: 0.3596, VaLoss:  2.49942
 21,  0 | TrAcc: 0.4235, TrLoss:  1.90980, VaAcc: 0.3473, VaLoss:  2.52424
 22,  0 | TrAcc: 0.4291, TrLoss:  1.89159, VaAcc: 0.3631, VaLoss:  2.50813
 23,  0 | TrAcc: 0.4268, TrLoss:  1.89466, VaAcc: 0.3545, VaLoss:  2.51344
 24,  0 | TrAcc: 0.4310, TrLoss:  1.89157, VaAcc: 0.3497, VaLoss:  2.51194
 25,  0 | TrAcc: 0.4329, TrLoss:  1.88613, VaAcc: 0.3493, VaLoss:  2.52753
 26,  0 | TrAcc: 0.4295, TrLoss:  1.88777, VaAcc: 0.3547, VaLoss:  2.51385
 27,  0 | TrAcc: 0.4296, TrLoss:  1.87439, VaAcc: 0.3618, VaLoss:  2.51520
 28,  0 | TrAcc: 0.4298, TrLoss:  1.90889, VaAcc: 0.3571, VaLoss:  2.53165
 29,  0 | TrAcc: 0.4361, TrLoss:  1.88284, VaAcc: 0.3538, VaLoss:  2.52680
 30,  0 | TrAcc: 0.4367, TrLoss:  1.86791, VaAcc: 0.3571, VaLoss:  2.51992
 31,  0 | TrAcc: 0.4414, TrLoss:  1.85643, VaAcc: 0.3527, VaLoss:  2.51029
 32,  0 | TrAcc: 0.4388, TrLoss:  1.85860, VaAcc: 0.3566, VaLoss:  2.50459
 33,  0 | TrAcc: 0.4405, TrLoss:  1.87001, VaAcc: 0.3635, VaLoss:  2.50843
 34,  0 | TrAcc: 0.4419, TrLoss:  1.84175, VaAcc: 0.3663, VaLoss:  2.49327
 35,  0 | TrAcc: 0.4425, TrLoss:  1.84373, VaAcc: 0.3586, VaLoss:  2.50976
 36,  0 | TrAcc: 0.4410, TrLoss:  1.84085, VaAcc: 0.3661, VaLoss:  2.51172
 37,  0 | TrAcc: 0.4424, TrLoss:  1.84428, VaAcc: 0.3668, VaLoss:  2.51027
 38,  0 | TrAcc: 0.4517, TrLoss:  1.80647, VaAcc: 0.3680, VaLoss:  2.51706
 39,  0 | TrAcc: 0.4473, TrLoss:  1.81426, VaAcc: 0.3652, VaLoss:  2.50832
 40,  0 | TrAcc: 0.4501, TrLoss:  1.82620, VaAcc: 0.3648, VaLoss:  2.52121
 41,  0 | TrAcc: 0.4506, TrLoss:  1.80453, VaAcc: 0.3627, VaLoss:  2.50849
 42,  0 | TrAcc: 0.4444, TrLoss:  1.82607, VaAcc: 0.3616, VaLoss:  2.52414
 43,  0 | TrAcc: 0.4473, TrLoss:  1.83307, VaAcc: 0.3635, VaLoss:  2.51910
 44,  0 | TrAcc: 0.4489, TrLoss:  1.82343, VaAcc: 0.3523, VaLoss:  2.52984
 45,  0 | TrAcc: 0.4437, TrLoss:  1.82802, VaAcc: 0.3532, VaLoss:  2.53788
 46,  0 | TrAcc: 0.4502, TrLoss:  1.78742, VaAcc: 0.3519, VaLoss:  2.52444
 47,  0 | TrAcc: 0.4493, TrLoss:  1.80203, VaAcc: 0.3564, VaLoss:  2.52658
 48,  0 | TrAcc: 0.4510, TrLoss:  1.79353, VaAcc: 0.3642, VaLoss:  2.50966
 49,  0 | TrAcc: 0.4512, TrLoss:  1.79149, VaAcc: 0.3553, VaLoss:  2.51867
 50,  0 | TrAcc: 0.4495, TrLoss:  1.80571, VaAcc: 0.3637, VaLoss:  2.53063
 51,  0 | TrAcc: 0.4529, TrLoss:  1.80799, VaAcc: 0.3702, VaLoss:  2.51962
 52,  0 | TrAcc: 0.4584, TrLoss:  1.79268, VaAcc: 0.3618, VaLoss:  2.52169
 53,  0 | TrAcc: 0.4553, TrLoss:  1.79875, VaAcc: 0.3726, VaLoss:  2.51555
 54,  0 | TrAcc: 0.4590, TrLoss:  1.78371, VaAcc: 0.3663, VaLoss:  2.52778
 55,  0 | TrAcc: 0.4554, TrLoss:  1.79897, VaAcc: 0.3741, VaLoss:  2.52359
 56,  0 | TrAcc: 0.4528, TrLoss:  1.79464, VaAcc: 0.3674, VaLoss:  2.52944
 57,  0 | TrAcc: 0.4563, TrLoss:  1.79533, VaAcc: 0.3683, VaLoss:  2.53375
 58,  0 | TrAcc: 0.4491, TrLoss:  1.79422, VaAcc: 0.3691, VaLoss:  2.53585
 59,  0 | TrAcc: 0.4591, TrLoss:  1.78443, VaAcc: 0.3611, VaLoss:  2.53518
 60,  0 | TrAcc: 0.4557, TrLoss:  1.78746, VaAcc: 0.3611, VaLoss:  2.53364
 61,  0 | TrAcc: 0.4573, TrLoss:  1.78052, VaAcc: 0.3648, VaLoss:  2.52676
 62,  0 | TrAcc: 0.4656, TrLoss:  1.76877, VaAcc: 0.3663, VaLoss:  2.52276
 63,  0 | TrAcc: 0.4646, TrLoss:  1.76703, VaAcc: 0.3752, VaLoss:  2.52929
 64,  0 | TrAcc: 0.4705, TrLoss:  1.75258, VaAcc: 0.3674, VaLoss:  2.52474
 65,  0 | TrAcc: 0.4609, TrLoss:  1.77819, VaAcc: 0.3562, VaLoss:  2.53771
 66,  0 | TrAcc: 0.4610, TrLoss:  1.77013, VaAcc: 0.3691, VaLoss:  2.51953
 67,  0 | TrAcc: 0.4576, TrLoss:  1.76729, VaAcc: 0.3741, VaLoss:  2.53695
 68,  0 | TrAcc: 0.4657, TrLoss:  1.76020, VaAcc: 0.3642, VaLoss:  2.54854
