{'task_id': 19, 'batchnorm': {'tau': 5, 'type': 'none', 'modes': [], 'momentum': 0.98}, 'learning_rate': 0.02, 'mode': {'name': 'classic', 'min_error': 0, 'max_epochs': 100}, 'learning_rate_tau': 10000}
{'te': {'in_seq_len': 40, 'minibatch_size': 500, 'max_truncation': 0, 'minibatch_mode': False}, 'dataset': 'timit', 'va': {'in_seq_len': 40, 'minibatch_size': 500, 'max_truncation': 0, 'minibatch_mode': False}, 'remove_bias': False, 'tr': {'in_seq_len': 40, 'minibatch_size': 1000, 'max_truncation': 0, 'minibatch_mode': True}}
{'layout': [13, 70, 100, 60], 'output_type': 'classification', 'layer_configs': [{'layer_type': 'input'}, {'var_scope': 'lstm_0', 'layer_type': 'lstm', 'regularization': {'state_zo_prob': 0.05, 'output_zo_prob': 0.01, 'mode': 'none'}, 'init_config': {'f': {'w': 'xavier', 'b': 'all_one'}, 'c': {'w': 'xavier', 'b': 'all_zero'}, 'o': {'w': 'xavier', 'b': 'all_zero'}, 'i': {'w': 'xavier', 'b': 'all_zero'}}}, {'var_scope': 'lstm_1', 'layer_type': 'lstm', 'regularization': {'output_zo_prob': 0.01, 'state_zo_prob': 0.05, 'mode': 'none'}, 'init_config': {'f': {'b': 'all_one', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}, 'o': {'b': 'all_zero', 'w': 'xavier'}, 'i': {'b': 'all_zero', 'w': 'xavier'}}}, {'var_scope': 'output_layer', 'layer_type': 'fc', 'regularization': {'strength': 0.0, 'mode': 'l2'}, 'init_config': {'b': 'all_zero', 'w': 'xavier'}}], 'gradient_clip_value': 0.5, 'discrete_acts': ['i', 'c'], 'weight_type': 'ternary', 'n_bins': 2.0}
{'calc_performance_every': 1, 'save_model': {'enabled': False, 'path': '../tr_models/m_model19'}, 'include_pred': False, 'include_out': False}

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 19}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': ['i', 'c'],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0174, TrLoss:  4.59382, VaAcc: 0.0181, VaLoss:  4.59157
  1,  0 | TrAcc: 0.2881, TrLoss:  2.63392, VaAcc: 0.2426, VaLoss:  2.85887
  2,  0 | TrAcc: 0.3264, TrLoss:  2.38694, VaAcc: 0.2760, VaLoss:  2.69075
  3,  0 | TrAcc: 0.3377, TrLoss:  2.29080, VaAcc: 0.2870, VaLoss:  2.63774
  4,  0 | TrAcc: 0.3745, TrLoss:  2.17162, VaAcc: 0.3182, VaLoss:  2.56134
  5,  0 | TrAcc: 0.3752, TrLoss:  2.12485, VaAcc: 0.3234, VaLoss:  2.56838
  6,  0 | TrAcc: 0.3824, TrLoss:  2.11391, VaAcc: 0.3135, VaLoss:  2.56696
  7,  0 | TrAcc: 0.3784, TrLoss:  2.10747, VaAcc: 0.3208, VaLoss:  2.57362
  8,  0 | TrAcc: 0.3897, TrLoss:  2.05918, VaAcc: 0.3208, VaLoss:  2.56425
  9,  0 | TrAcc: 0.4008, TrLoss:  2.01748, VaAcc: 0.3409, VaLoss:  2.51405
 10,  0 | TrAcc: 0.4114, TrLoss:  1.99177, VaAcc: 0.3407, VaLoss:  2.51990
 11,  0 | TrAcc: 0.4135, TrLoss:  1.97282, VaAcc: 0.3506, VaLoss:  2.51441
 12,  0 | TrAcc: 0.4116, TrLoss:  1.96998, VaAcc: 0.3353, VaLoss:  2.50600
 13,  0 | TrAcc: 0.4145, TrLoss:  1.96049, VaAcc: 0.3484, VaLoss:  2.50001
 14,  0 | TrAcc: 0.4147, TrLoss:  1.95829, VaAcc: 0.3534, VaLoss:  2.50977
 15,  0 | TrAcc: 0.4117, TrLoss:  1.95447, VaAcc: 0.3547, VaLoss:  2.52190
 16,  0 | TrAcc: 0.4255, TrLoss:  1.91973, VaAcc: 0.3504, VaLoss:  2.52626
 17,  0 | TrAcc: 0.4252, TrLoss:  1.91119, VaAcc: 0.3590, VaLoss:  2.50285
 18,  0 | TrAcc: 0.4233, TrLoss:  1.91481, VaAcc: 0.3493, VaLoss:  2.52167
 19,  0 | TrAcc: 0.4317, TrLoss:  1.88323, VaAcc: 0.3603, VaLoss:  2.48610
 20,  0 | TrAcc: 0.4308, TrLoss:  1.89429, VaAcc: 0.3575, VaLoss:  2.49207
 21,  0 | TrAcc: 0.4311, TrLoss:  1.88492, VaAcc: 0.3508, VaLoss:  2.50758
 22,  0 | TrAcc: 0.4341, TrLoss:  1.88795, VaAcc: 0.3611, VaLoss:  2.49904
 23,  0 | TrAcc: 0.4306, TrLoss:  1.87969, VaAcc: 0.3663, VaLoss:  2.49892
 24,  0 | TrAcc: 0.4343, TrLoss:  1.87714, VaAcc: 0.3568, VaLoss:  2.50909
 25,  0 | TrAcc: 0.4347, TrLoss:  1.86707, VaAcc: 0.3575, VaLoss:  2.52378
 26,  0 | TrAcc: 0.4410, TrLoss:  1.84840, VaAcc: 0.3642, VaLoss:  2.49043
 27,  0 | TrAcc: 0.4369, TrLoss:  1.83910, VaAcc: 0.3689, VaLoss:  2.49692
 28,  0 | TrAcc: 0.4341, TrLoss:  1.87060, VaAcc: 0.3497, VaLoss:  2.50576
 29,  0 | TrAcc: 0.4468, TrLoss:  1.83213, VaAcc: 0.3680, VaLoss:  2.50377
 30,  0 | TrAcc: 0.4436, TrLoss:  1.83821, VaAcc: 0.3605, VaLoss:  2.50836
 31,  0 | TrAcc: 0.4491, TrLoss:  1.83620, VaAcc: 0.3592, VaLoss:  2.50456
 32,  0 | TrAcc: 0.4401, TrLoss:  1.83827, VaAcc: 0.3708, VaLoss:  2.49779
 33,  0 | TrAcc: 0.4350, TrLoss:  1.85266, VaAcc: 0.3564, VaLoss:  2.52857
 34,  0 | TrAcc: 0.4384, TrLoss:  1.84744, VaAcc: 0.3618, VaLoss:  2.52223
 35,  0 | TrAcc: 0.4474, TrLoss:  1.83980, VaAcc: 0.3603, VaLoss:  2.53278
 36,  0 | TrAcc: 0.4447, TrLoss:  1.83441, VaAcc: 0.3616, VaLoss:  2.51664
 37,  0 | TrAcc: 0.4496, TrLoss:  1.81878, VaAcc: 0.3711, VaLoss:  2.51106
 38,  0 | TrAcc: 0.4475, TrLoss:  1.82050, VaAcc: 0.3607, VaLoss:  2.49983
 39,  0 | TrAcc: 0.4550, TrLoss:  1.79843, VaAcc: 0.3650, VaLoss:  2.50966
 40,  0 | TrAcc: 0.4551, TrLoss:  1.79871, VaAcc: 0.3754, VaLoss:  2.49468
 41,  0 | TrAcc: 0.4493, TrLoss:  1.81637, VaAcc: 0.3715, VaLoss:  2.51032
 42,  0 | TrAcc: 0.4567, TrLoss:  1.78081, VaAcc: 0.3676, VaLoss:  2.50876
 43,  0 | TrAcc: 0.4495, TrLoss:  1.81230, VaAcc: 0.3674, VaLoss:  2.50783
 44,  0 | TrAcc: 0.4519, TrLoss:  1.80410, VaAcc: 0.3702, VaLoss:  2.50675
 45,  0 | TrAcc: 0.4564, TrLoss:  1.78607, VaAcc: 0.3726, VaLoss:  2.51086
 46,  0 | TrAcc: 0.4546, TrLoss:  1.77667, VaAcc: 0.3696, VaLoss:  2.50021
 47,  0 | TrAcc: 0.4555, TrLoss:  1.78892, VaAcc: 0.3799, VaLoss:  2.50951
