{'learning_rate_tau': 10000, 'learning_rate': 0.02, 'task_id': 22, 'mode': {'min_error': 0, 'max_epochs': 100, 'name': 'classic'}, 'batchnorm': {'type': 'none', 'tau': 5, 'modes': [], 'momentum': 0.98}}
{'va': {'in_seq_len': 40, 'minibatch_mode': False, 'minibatch_size': 500, 'max_truncation': 0}, 'te': {'in_seq_len': 40, 'minibatch_mode': False, 'minibatch_size': 500, 'max_truncation': 0}, 'remove_bias': False, 'tr': {'in_seq_len': 40, 'minibatch_mode': True, 'minibatch_size': 1000, 'max_truncation': 0}, 'dataset': 'timit'}
{'n_bins': 2.0, 'discrete_acts': ['i', 'o'], 'gradient_clip_value': 0.5, 'layout': [13, 70, 100, 60], 'layer_configs': [{'layer_type': 'input'}, {'init_config': {'f': {'w': 'xavier', 'b': 'all_one'}, 'i': {'w': 'xavier', 'b': 'all_zero'}, 'o': {'w': 'xavier', 'b': 'all_zero'}, 'c': {'w': 'xavier', 'b': 'all_zero'}}, 'var_scope': 'lstm_0', 'layer_type': 'lstm', 'regularization': {'output_zo_prob': 0.01, 'state_zo_prob': 0.05, 'mode': 'none'}}, {'init_config': {'f': {'w': 'xavier', 'b': 'all_one'}, 'i': {'w': 'xavier', 'b': 'all_zero'}, 'o': {'w': 'xavier', 'b': 'all_zero'}, 'c': {'w': 'xavier', 'b': 'all_zero'}}, 'var_scope': 'lstm_1', 'layer_type': 'lstm', 'regularization': {'output_zo_prob': 0.01, 'state_zo_prob': 0.05, 'mode': 'none'}}, {'init_config': {'w': 'xavier', 'b': 'all_zero'}, 'var_scope': 'output_layer', 'layer_type': 'fc', 'regularization': {'strength': 0.0, 'mode': 'l2'}}], 'weight_type': 'ternary', 'output_type': 'classification'}
{'calc_performance_every': 1, 'save_model': {'enabled': False, 'path': '../tr_models/m_model22'}, 'include_out': False, 'include_pred': False}

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 22}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': ['i', 'o'],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0162, TrLoss:  4.54330, VaAcc: 0.0179, VaLoss:  4.53757
  1,  0 | TrAcc: 0.1492, TrLoss:  3.34419, VaAcc: 0.0994, VaLoss:  3.57834
  2,  0 | TrAcc: 0.1565, TrLoss:  3.22503, VaAcc: 0.0888, VaLoss:  3.53473
  3,  0 | TrAcc: 0.1575, TrLoss:  3.19167, VaAcc: 0.1048, VaLoss:  3.55140
  4,  0 | TrAcc: 0.1616, TrLoss:  3.16235, VaAcc: 0.1039, VaLoss:  3.55839
  5,  0 | TrAcc: 0.1635, TrLoss:  3.11697, VaAcc: 0.0944, VaLoss:  3.55479
  6,  0 | TrAcc: 0.1610, TrLoss:  3.17386, VaAcc: 0.0768, VaLoss:  3.58065
  7,  0 | TrAcc: 0.1565, TrLoss:  3.19150, VaAcc: 0.0699, VaLoss:  3.62508
  8,  0 | TrAcc: 0.1602, TrLoss:  3.14972, VaAcc: 0.0888, VaLoss:  3.57694
  9,  0 | TrAcc: 0.1738, TrLoss:  3.12490, VaAcc: 0.0847, VaLoss:  3.58919
 10,  0 | TrAcc: 0.1645, TrLoss:  3.12373, VaAcc: 0.0759, VaLoss:  3.61102
 11,  0 | TrAcc: 0.1791, TrLoss:  3.09515, VaAcc: 0.0886, VaLoss:  3.53698
 12,  0 | TrAcc: 0.1845, TrLoss:  3.05528, VaAcc: 0.0888, VaLoss:  3.53734
 13,  0 | TrAcc: 0.1741, TrLoss:  3.11201, VaAcc: 0.0912, VaLoss:  3.57025
 14,  0 | TrAcc: 0.1682, TrLoss:  3.14371, VaAcc: 0.0759, VaLoss:  3.61036
 15,  0 | TrAcc: 0.1645, TrLoss:  3.14555, VaAcc: 0.0709, VaLoss:  3.61745
 16,  0 | TrAcc: 0.1643, TrLoss:  3.12532, VaAcc: 0.0811, VaLoss:  3.60920
 17,  0 | TrAcc: 0.1673, TrLoss:  3.13646, VaAcc: 0.0692, VaLoss:  3.62545
 18,  0 | TrAcc: 0.1658, TrLoss:  3.12726, VaAcc: 0.0671, VaLoss:  3.63659
 19,  0 | TrAcc: 0.1747, TrLoss:  3.10436, VaAcc: 0.0737, VaLoss:  3.60536
 20,  0 | TrAcc: 0.1773, TrLoss:  3.10918, VaAcc: 0.0636, VaLoss:  3.63150
 21,  0 | TrAcc: 0.1747, TrLoss:  3.09705, VaAcc: 0.0653, VaLoss:  3.62590
 22,  0 | TrAcc: 0.1860, TrLoss:  3.03356, VaAcc: 0.0776, VaLoss:  3.56622
 23,  0 | TrAcc: 0.1839, TrLoss:  3.05427, VaAcc: 0.0783, VaLoss:  3.57792
 24,  0 | TrAcc: 0.1959, TrLoss:  2.99923, VaAcc: 0.1018, VaLoss:  3.51549
 25,  0 | TrAcc: 0.1944, TrLoss:  2.97610, VaAcc: 0.0968, VaLoss:  3.52730
 26,  0 | TrAcc: 0.1944, TrLoss:  2.98419, VaAcc: 0.0770, VaLoss:  3.55541
 27,  0 | TrAcc: 0.1886, TrLoss:  2.98814, VaAcc: 0.0802, VaLoss:  3.53692
 28,  0 | TrAcc: 0.1928, TrLoss:  2.98624, VaAcc: 0.0923, VaLoss:  3.53458
 29,  0 | TrAcc: 0.1933, TrLoss:  2.98990, VaAcc: 0.0772, VaLoss:  3.53199
 30,  0 | TrAcc: 0.1878, TrLoss:  3.00589, VaAcc: 0.0819, VaLoss:  3.56063
 31,  0 | TrAcc: 0.1820, TrLoss:  3.01096, VaAcc: 0.0845, VaLoss:  3.54998
 32,  0 | TrAcc: 0.1887, TrLoss:  3.00433, VaAcc: 0.0787, VaLoss:  3.54860
 33,  0 | TrAcc: 0.1828, TrLoss:  3.00802, VaAcc: 0.0817, VaLoss:  3.56759
 34,  0 | TrAcc: 0.1852, TrLoss:  2.99607, VaAcc: 0.0768, VaLoss:  3.53311
 35,  0 | TrAcc: 0.1851, TrLoss:  2.98580, VaAcc: 0.0746, VaLoss:  3.54564
