{'learning_rate_tau': 10000, 'mode': {'max_epochs': 100, 'name': 'classic', 'min_error': 0}, 'task_id': 24, 'learning_rate': 0.02, 'batchnorm': {'modes': [], 'tau': 5, 'type': 'none', 'momentum': 0.98}}
{'dataset': 'timit', 'te': {'max_truncation': 0, 'minibatch_mode': False, 'minibatch_size': 500, 'in_seq_len': 40}, 'va': {'max_truncation': 0, 'minibatch_mode': False, 'minibatch_size': 500, 'in_seq_len': 40}, 'remove_bias': False, 'tr': {'max_truncation': 0, 'minibatch_mode': True, 'minibatch_size': 1000, 'in_seq_len': 40}}
{'n_bins': 2.0, 'output_type': 'classification', 'layout': [13, 70, 100, 60], 'weight_type': 'ternary', 'gradient_clip_value': 0.5, 'discrete_acts': ['c', 'o'], 'layer_configs': [{'layer_type': 'input'}, {'layer_type': 'lstm', 'init_config': {'f': {'b': 'all_one', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}, 'i': {'b': 'all_zero', 'w': 'xavier'}, 'o': {'b': 'all_zero', 'w': 'xavier'}}, 'regularization': {'state_zo_prob': 0.05, 'mode': 'none', 'output_zo_prob': 0.01}, 'var_scope': 'lstm_0'}, {'layer_type': 'lstm', 'init_config': {'f': {'b': 'all_one', 'w': 'xavier'}, 'c': {'b': 'all_zero', 'w': 'xavier'}, 'i': {'b': 'all_zero', 'w': 'xavier'}, 'o': {'b': 'all_zero', 'w': 'xavier'}}, 'regularization': {'state_zo_prob': 0.05, 'mode': 'none', 'output_zo_prob': 0.01}, 'var_scope': 'lstm_1'}, {'layer_type': 'fc', 'init_config': {'b': 'all_zero', 'w': 'xavier'}, 'regularization': {'mode': 'l2', 'strength': 0.0}, 'var_scope': 'output_layer'}]}
{'save_model': {'enabled': False, 'path': '../tr_models/m_model24'}, 'calc_performance_every': 1, 'include_out': False, 'include_pred': False}

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 24}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': ['c', 'o'],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0160, TrLoss:  4.54064, VaAcc: 0.0157, VaLoss:  4.51283
  1,  0 | TrAcc: 0.3005, TrLoss:  2.55235, VaAcc: 0.2620, VaLoss:  2.78603
  2,  0 | TrAcc: 0.3625, TrLoss:  2.23980, VaAcc: 0.3003, VaLoss:  2.58789
  3,  0 | TrAcc: 0.3792, TrLoss:  2.13175, VaAcc: 0.3219, VaLoss:  2.53164
  4,  0 | TrAcc: 0.3874, TrLoss:  2.07952, VaAcc: 0.3266, VaLoss:  2.50369
  5,  0 | TrAcc: 0.4018, TrLoss:  2.02470, VaAcc: 0.3489, VaLoss:  2.47488
  6,  0 | TrAcc: 0.4179, TrLoss:  1.97587, VaAcc: 0.3594, VaLoss:  2.47346
  7,  0 | TrAcc: 0.4204, TrLoss:  1.95335, VaAcc: 0.3655, VaLoss:  2.45470
  8,  0 | TrAcc: 0.4229, TrLoss:  1.90696, VaAcc: 0.3717, VaLoss:  2.43415
  9,  0 | TrAcc: 0.4352, TrLoss:  1.87646, VaAcc: 0.3674, VaLoss:  2.44334
 10,  0 | TrAcc: 0.4353, TrLoss:  1.86941, VaAcc: 0.3866, VaLoss:  2.40541
 11,  0 | TrAcc: 0.4392, TrLoss:  1.86128, VaAcc: 0.3708, VaLoss:  2.41653
 12,  0 | TrAcc: 0.4400, TrLoss:  1.85002, VaAcc: 0.3797, VaLoss:  2.40725
 13,  0 | TrAcc: 0.4409, TrLoss:  1.83728, VaAcc: 0.3872, VaLoss:  2.40843
 14,  0 | TrAcc: 0.4463, TrLoss:  1.81780, VaAcc: 0.3693, VaLoss:  2.42968
 15,  0 | TrAcc: 0.4523, TrLoss:  1.80036, VaAcc: 0.3801, VaLoss:  2.42468
 16,  0 | TrAcc: 0.4565, TrLoss:  1.77745, VaAcc: 0.3866, VaLoss:  2.40325
 17,  0 | TrAcc: 0.4522, TrLoss:  1.78677, VaAcc: 0.3836, VaLoss:  2.41303
 18,  0 | TrAcc: 0.4608, TrLoss:  1.76696, VaAcc: 0.3810, VaLoss:  2.42553
 19,  0 | TrAcc: 0.4682, TrLoss:  1.74621, VaAcc: 0.3831, VaLoss:  2.41506
 20,  0 | TrAcc: 0.4573, TrLoss:  1.76576, VaAcc: 0.3892, VaLoss:  2.41496
 21,  0 | TrAcc: 0.4677, TrLoss:  1.74396, VaAcc: 0.3931, VaLoss:  2.43211
 22,  0 | TrAcc: 0.4721, TrLoss:  1.72727, VaAcc: 0.3784, VaLoss:  2.43950
 23,  0 | TrAcc: 0.4633, TrLoss:  1.74055, VaAcc: 0.3782, VaLoss:  2.43463
 24,  0 | TrAcc: 0.4705, TrLoss:  1.72002, VaAcc: 0.3898, VaLoss:  2.42490
 25,  0 | TrAcc: 0.4702, TrLoss:  1.72286, VaAcc: 0.3991, VaLoss:  2.43133
 26,  0 | TrAcc: 0.4679, TrLoss:  1.71591, VaAcc: 0.3969, VaLoss:  2.42416
 27,  0 | TrAcc: 0.4787, TrLoss:  1.70065, VaAcc: 0.3829, VaLoss:  2.42720
 28,  0 | TrAcc: 0.4731, TrLoss:  1.70216, VaAcc: 0.3995, VaLoss:  2.41561
 29,  0 | TrAcc: 0.4813, TrLoss:  1.68364, VaAcc: 0.3885, VaLoss:  2.41944
 30,  0 | TrAcc: 0.4792, TrLoss:  1.69775, VaAcc: 0.3926, VaLoss:  2.41748
 31,  0 | TrAcc: 0.4840, TrLoss:  1.68333, VaAcc: 0.4041, VaLoss:  2.43120
 32,  0 | TrAcc: 0.4880, TrLoss:  1.67605, VaAcc: 0.3987, VaLoss:  2.42318
 33,  0 | TrAcc: 0.4830, TrLoss:  1.67488, VaAcc: 0.3868, VaLoss:  2.42844
 34,  0 | TrAcc: 0.4917, TrLoss:  1.64921, VaAcc: 0.3933, VaLoss:  2.41832
 35,  0 | TrAcc: 0.4790, TrLoss:  1.68561, VaAcc: 0.3954, VaLoss:  2.42930
