{'learning_rate': 0.02, 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'}, 'batchnorm': {'type': 'none', 'momentum': 0.98, 'tau': 5, 'modes': []}, 'learning_rate_tau': 10000, 'task_id': 25}
{'te': {'minibatch_size': 500, 'minibatch_mode': False, 'max_truncation': 0, 'in_seq_len': 40}, 'tr': {'minibatch_size': 1000, 'minibatch_mode': True, 'max_truncation': 0, 'in_seq_len': 40}, 'remove_bias': False, 'va': {'minibatch_size': 500, 'minibatch_mode': False, 'max_truncation': 0, 'in_seq_len': 40}, 'dataset': 'timit'}
{'layer_configs': [{'layer_type': 'input'}, {'layer_type': 'lstm', 'init_config': {'i': {'w': 'xavier', 'b': 'all_zero'}, 'f': {'w': 'xavier', 'b': 'all_one'}, 'c': {'w': 'xavier', 'b': 'all_zero'}, 'o': {'w': 'xavier', 'b': 'all_zero'}}, 'regularization': {'mode': 'none', 'state_zo_prob': 0.05, 'output_zo_prob': 0.01}, 'var_scope': 'lstm_0'}, {'layer_type': 'lstm', 'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'}, 'f': {'b': 'all_one', 'w': 'xavier'}, 'i': {'b': 'all_zero', 'w': 'xavier'}, 'o': {'b': 'all_zero', 'w': 'xavier'}}, 'regularization': {'mode': 'none', 'state_zo_prob': 0.05, 'output_zo_prob': 0.01}, 'var_scope': 'lstm_1'}, {'layer_type': 'fc', 'init_config': {'b': 'all_zero', 'w': 'xavier'}, 'regularization': {'strength': 0.0, 'mode': 'l2'}, 'var_scope': 'output_layer'}], 'weight_type': 'ternary', 'n_bins': 2.0, 'layout': [13, 70, 100, 60], 'discrete_acts': ['c', 'o'], 'gradient_clip_value': 0.5, 'output_type': 'classification'}
{'calc_performance_every': 1, 'include_pred': False, 'include_out': False, 'save_model': {'enabled': False, 'path': '../tr_models/m_model25'}}

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 25}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': ['c', 'o'],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0145, TrLoss:  4.57798, VaAcc: 0.0149, VaLoss:  4.59462
  1,  0 | TrAcc: 0.2846, TrLoss:  2.62601, VaAcc: 0.2531, VaLoss:  2.83336
  2,  0 | TrAcc: 0.3298, TrLoss:  2.37663, VaAcc: 0.2896, VaLoss:  2.68867
  3,  0 | TrAcc: 0.3582, TrLoss:  2.21594, VaAcc: 0.3057, VaLoss:  2.58389
  4,  0 | TrAcc: 0.3861, TrLoss:  2.09734, VaAcc: 0.3368, VaLoss:  2.50102
  5,  0 | TrAcc: 0.3986, TrLoss:  2.05666, VaAcc: 0.3456, VaLoss:  2.49819
  6,  0 | TrAcc: 0.4049, TrLoss:  2.01192, VaAcc: 0.3486, VaLoss:  2.47732
  7,  0 | TrAcc: 0.4150, TrLoss:  1.97408, VaAcc: 0.3596, VaLoss:  2.47714
  8,  0 | TrAcc: 0.4286, TrLoss:  1.93339, VaAcc: 0.3588, VaLoss:  2.47251
  9,  0 | TrAcc: 0.4218, TrLoss:  1.93037, VaAcc: 0.3726, VaLoss:  2.45133
 10,  0 | TrAcc: 0.4247, TrLoss:  1.92080, VaAcc: 0.3622, VaLoss:  2.46791
 11,  0 | TrAcc: 0.4378, TrLoss:  1.88443, VaAcc: 0.3659, VaLoss:  2.45913
 12,  0 | TrAcc: 0.4379, TrLoss:  1.87043, VaAcc: 0.3724, VaLoss:  2.43087
 13,  0 | TrAcc: 0.4401, TrLoss:  1.86638, VaAcc: 0.3756, VaLoss:  2.47152
 14,  0 | TrAcc: 0.4426, TrLoss:  1.85723, VaAcc: 0.3771, VaLoss:  2.45696
 15,  0 | TrAcc: 0.4496, TrLoss:  1.82754, VaAcc: 0.3842, VaLoss:  2.42956
 16,  0 | TrAcc: 0.4466, TrLoss:  1.83936, VaAcc: 0.3836, VaLoss:  2.45230
 17,  0 | TrAcc: 0.4464, TrLoss:  1.80416, VaAcc: 0.3853, VaLoss:  2.45014
 18,  0 | TrAcc: 0.4522, TrLoss:  1.79941, VaAcc: 0.3730, VaLoss:  2.45024
 19,  0 | TrAcc: 0.4565, TrLoss:  1.77991, VaAcc: 0.3812, VaLoss:  2.45789
 20,  0 | TrAcc: 0.4528, TrLoss:  1.78556, VaAcc: 0.3771, VaLoss:  2.44252
 21,  0 | TrAcc: 0.4575, TrLoss:  1.78319, VaAcc: 0.3853, VaLoss:  2.44884
 22,  0 | TrAcc: 0.4602, TrLoss:  1.75855, VaAcc: 0.3814, VaLoss:  2.45586
 23,  0 | TrAcc: 0.4609, TrLoss:  1.75919, VaAcc: 0.3941, VaLoss:  2.42807
 24,  0 | TrAcc: 0.4666, TrLoss:  1.74630, VaAcc: 0.3870, VaLoss:  2.44401
 25,  0 | TrAcc: 0.4771, TrLoss:  1.73444, VaAcc: 0.3965, VaLoss:  2.42625
 26,  0 | TrAcc: 0.4676, TrLoss:  1.75397, VaAcc: 0.3788, VaLoss:  2.45970
 27,  0 | TrAcc: 0.4756, TrLoss:  1.71702, VaAcc: 0.3859, VaLoss:  2.45458
 28,  0 | TrAcc: 0.4776, TrLoss:  1.71677, VaAcc: 0.3885, VaLoss:  2.44294
 29,  0 | TrAcc: 0.4684, TrLoss:  1.74071, VaAcc: 0.3849, VaLoss:  2.46048
 30,  0 | TrAcc: 0.4737, TrLoss:  1.71982, VaAcc: 0.3956, VaLoss:  2.44889
 31,  0 | TrAcc: 0.4664, TrLoss:  1.72661, VaAcc: 0.3991, VaLoss:  2.43532
 32,  0 | TrAcc: 0.4812, TrLoss:  1.70308, VaAcc: 0.3890, VaLoss:  2.45486
 33,  0 | TrAcc: 0.4784, TrLoss:  1.71679, VaAcc: 0.3922, VaLoss:  2.46365
 34,  0 | TrAcc: 0.4763, TrLoss:  1.70856, VaAcc: 0.3896, VaLoss:  2.44632
 35,  0 | TrAcc: 0.4769, TrLoss:  1.70258, VaAcc: 0.4028, VaLoss:  2.42933
 36,  0 | TrAcc: 0.4795, TrLoss:  1.70025, VaAcc: 0.3976, VaLoss:  2.45427
 37,  0 | TrAcc: 0.4754, TrLoss:  1.69908, VaAcc: 0.4015, VaLoss:  2.44029
 38,  0 | TrAcc: 0.4721, TrLoss:  1.70833, VaAcc: 0.3922, VaLoss:  2.47089
 39,  0 | TrAcc: 0.4788, TrLoss:  1.70436, VaAcc: 0.3995, VaLoss:  2.45150
 40,  0 | TrAcc: 0.4847, TrLoss:  1.67928, VaAcc: 0.4000, VaLoss:  2.44029
 41,  0 | TrAcc: 0.4750, TrLoss:  1.71796, VaAcc: 0.3928, VaLoss:  2.46070
 42,  0 | TrAcc: 0.4846, TrLoss:  1.67599, VaAcc: 0.3976, VaLoss:  2.46144
 43,  0 | TrAcc: 0.4824, TrLoss:  1.67569, VaAcc: 0.4006, VaLoss:  2.43717
 44,  0 | TrAcc: 0.4878, TrLoss:  1.66222, VaAcc: 0.3987, VaLoss:  2.44292
 45,  0 | TrAcc: 0.4892, TrLoss:  1.65980, VaAcc: 0.3965, VaLoss:  2.44803
 46,  0 | TrAcc: 0.4882, TrLoss:  1.65376, VaAcc: 0.4004, VaLoss:  2.44744
 47,  0 | TrAcc: 0.4937, TrLoss:  1.66110, VaAcc: 0.3948, VaLoss:  2.42904
 48,  0 | TrAcc: 0.4865, TrLoss:  1.65838, VaAcc: 0.4071, VaLoss:  2.44193
 49,  0 | TrAcc: 0.4863, TrLoss:  1.65094, VaAcc: 0.4013, VaLoss:  2.44037
 50,  0 | TrAcc: 0.4952, TrLoss:  1.64277, VaAcc: 0.4002, VaLoss:  2.47003
 51,  0 | TrAcc: 0.4962, TrLoss:  1.64575, VaAcc: 0.3928, VaLoss:  2.45158
 52,  0 | TrAcc: 0.4965, TrLoss:  1.63625, VaAcc: 0.3974, VaLoss:  2.45349
 53,  0 | TrAcc: 0.4937, TrLoss:  1.64107, VaAcc: 0.3978, VaLoss:  2.46179
 54,  0 | TrAcc: 0.4924, TrLoss:  1.64315, VaAcc: 0.3853, VaLoss:  2.47674
 55,  0 | TrAcc: 0.4927, TrLoss:  1.64671, VaAcc: 0.3894, VaLoss:  2.47832
 56,  0 | TrAcc: 0.4976, TrLoss:  1.62942, VaAcc: 0.3991, VaLoss:  2.46502
 57,  0 | TrAcc: 0.4865, TrLoss:  1.64016, VaAcc: 0.4045, VaLoss:  2.44729
 58,  0 | TrAcc: 0.4915, TrLoss:  1.63737, VaAcc: 0.3995, VaLoss:  2.46779
 59,  0 | TrAcc: 0.4920, TrLoss:  1.63801, VaAcc: 0.4006, VaLoss:  2.47110
 60,  0 | TrAcc: 0.4882, TrLoss:  1.64493, VaAcc: 0.4023, VaLoss:  2.46025
 61,  0 | TrAcc: 0.4914, TrLoss:  1.64143, VaAcc: 0.4023, VaLoss:  2.45386
