{'mode': {'name': 'classic', 'min_error': 0, 'max_epochs': 100}, 'learning_rate': 0.02, 'task_id': 30, 'learning_rate_tau': 10000, 'batchnorm': {'modes': [], 'momentum': 0.98, 'type': 'none', 'tau': 5}}
{'va': {'minibatch_size': 500, 'in_seq_len': 40, 'max_truncation': 0, 'minibatch_mode': False}, 'te': {'minibatch_size': 500, 'in_seq_len': 40, 'max_truncation': 0, 'minibatch_mode': False}, 'remove_bias': False, 'dataset': 'timit', 'tr': {'minibatch_size': 1000, 'in_seq_len': 40, 'max_truncation': 0, 'minibatch_mode': True}}
{'weight_type': 'ternary', 'gradient_clip_value': 0.5, 'n_bins': 2.0, 'output_type': 'classification', 'discrete_acts': ['i', 'c', 'o'], 'layout': [13, 70, 100, 60], 'layer_configs': [{'layer_type': 'input'}, {'regularization': {'mode': 'none', 'state_zo_prob': 0.05, 'output_zo_prob': 0.01}, 'var_scope': 'lstm_0', 'layer_type': 'lstm', 'init_config': {'i': {'w': 'xavier', 'b': 'all_zero'}, 'c': {'w': 'xavier', 'b': 'all_zero'}, 'f': {'w': 'xavier', 'b': 'all_one'}, 'o': {'w': 'xavier', 'b': 'all_zero'}}}, {'regularization': {'mode': 'none', 'state_zo_prob': 0.05, 'output_zo_prob': 0.01}, 'var_scope': 'lstm_1', 'layer_type': 'lstm', 'init_config': {'i': {'w': 'xavier', 'b': 'all_zero'}, 'c': {'w': 'xavier', 'b': 'all_zero'}, 'f': {'w': 'xavier', 'b': 'all_one'}, 'o': {'w': 'xavier', 'b': 'all_zero'}}}, {'regularization': {'mode': 'l2', 'strength': 0.0}, 'var_scope': 'output_layer', 'layer_type': 'fc', 'init_config': {'w': 'xavier', 'b': 'all_zero'}}]}
{'include_out': False, 'calc_performance_every': 1, 'save_model': {'enabled': False, 'path': '../tr_models/m_model30'}, 'include_pred': False}

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 30}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': ['i', 'c', 'o'],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0171, TrLoss:  4.58856, VaAcc: 0.0164, VaLoss:  4.60122
  1,  0 | TrAcc: 0.2639, TrLoss:  2.72578, VaAcc: 0.2193, VaLoss:  2.93580
  2,  0 | TrAcc: 0.3137, TrLoss:  2.42638, VaAcc: 0.2684, VaLoss:  2.71974
  3,  0 | TrAcc: 0.3370, TrLoss:  2.29760, VaAcc: 0.2758, VaLoss:  2.67049
  4,  0 | TrAcc: 0.3484, TrLoss:  2.22672, VaAcc: 0.3098, VaLoss:  2.62339
  5,  0 | TrAcc: 0.3602, TrLoss:  2.17960, VaAcc: 0.3105, VaLoss:  2.60281
  6,  0 | TrAcc: 0.3661, TrLoss:  2.15432, VaAcc: 0.3163, VaLoss:  2.58210
  7,  0 | TrAcc: 0.3783, TrLoss:  2.11784, VaAcc: 0.3126, VaLoss:  2.58849
  8,  0 | TrAcc: 0.3866, TrLoss:  2.07697, VaAcc: 0.3223, VaLoss:  2.57323
  9,  0 | TrAcc: 0.3807, TrLoss:  2.08048, VaAcc: 0.3353, VaLoss:  2.55316
 10,  0 | TrAcc: 0.3940, TrLoss:  2.04429, VaAcc: 0.3320, VaLoss:  2.55259
 11,  0 | TrAcc: 0.3940, TrLoss:  2.04363, VaAcc: 0.3353, VaLoss:  2.55630
 12,  0 | TrAcc: 0.4012, TrLoss:  2.01351, VaAcc: 0.3284, VaLoss:  2.55915
 13,  0 | TrAcc: 0.4033, TrLoss:  1.99748, VaAcc: 0.3392, VaLoss:  2.56401
 14,  0 | TrAcc: 0.4063, TrLoss:  1.98403, VaAcc: 0.3428, VaLoss:  2.54137
 15,  0 | TrAcc: 0.4137, TrLoss:  1.96201, VaAcc: 0.3359, VaLoss:  2.56908
 16,  0 | TrAcc: 0.4104, TrLoss:  1.96407, VaAcc: 0.3430, VaLoss:  2.53951
 17,  0 | TrAcc: 0.4121, TrLoss:  1.93698, VaAcc: 0.3392, VaLoss:  2.54622
 18,  0 | TrAcc: 0.4155, TrLoss:  1.94054, VaAcc: 0.3344, VaLoss:  2.54689
 19,  0 | TrAcc: 0.4223, TrLoss:  1.93019, VaAcc: 0.3452, VaLoss:  2.56965
 20,  0 | TrAcc: 0.4169, TrLoss:  1.94455, VaAcc: 0.3454, VaLoss:  2.56742
 21,  0 | TrAcc: 0.4191, TrLoss:  1.93933, VaAcc: 0.3482, VaLoss:  2.54025
 22,  0 | TrAcc: 0.4208, TrLoss:  1.92908, VaAcc: 0.3469, VaLoss:  2.54331
 23,  0 | TrAcc: 0.4189, TrLoss:  1.91422, VaAcc: 0.3398, VaLoss:  2.55904
 24,  0 | TrAcc: 0.4261, TrLoss:  1.89585, VaAcc: 0.3461, VaLoss:  2.54593
 25,  0 | TrAcc: 0.4202, TrLoss:  1.91293, VaAcc: 0.3430, VaLoss:  2.54056
 26,  0 | TrAcc: 0.4313, TrLoss:  1.88933, VaAcc: 0.3424, VaLoss:  2.54474
 27,  0 | TrAcc: 0.4251, TrLoss:  1.88644, VaAcc: 0.3445, VaLoss:  2.54374
 28,  0 | TrAcc: 0.4229, TrLoss:  1.90822, VaAcc: 0.3519, VaLoss:  2.55570
 29,  0 | TrAcc: 0.4205, TrLoss:  1.91015, VaAcc: 0.3467, VaLoss:  2.55996
 30,  0 | TrAcc: 0.4287, TrLoss:  1.89026, VaAcc: 0.3471, VaLoss:  2.56612
 31,  0 | TrAcc: 0.4336, TrLoss:  1.87178, VaAcc: 0.3555, VaLoss:  2.54604
 32,  0 | TrAcc: 0.4357, TrLoss:  1.88194, VaAcc: 0.3525, VaLoss:  2.54004
 33,  0 | TrAcc: 0.4292, TrLoss:  1.88920, VaAcc: 0.3581, VaLoss:  2.54031
 34,  0 | TrAcc: 0.4351, TrLoss:  1.86729, VaAcc: 0.3680, VaLoss:  2.53115
 35,  0 | TrAcc: 0.4349, TrLoss:  1.86729, VaAcc: 0.3631, VaLoss:  2.54092
